review_uid,username_2,user_uid,rating,product_name,review_date,seller_name,review_title,review_content,survey_answer
487866458,인쇼하는꾹,151546408,5,"로 겐조 뿌르 팜므 오 드 뚜왈렛, 50ml, 1개",2023.08.01,쿠팡(주),르빠겐조 겐조뿌르 팜므는 여성용 여름향수추천 내돈내산,"역시나 이 향은 다시 찾게 됩니다.신랑하고 같이 사용할려구 50ml으로 샀어요.100ml는 여러번 깨트린 적이 있어서 불안해서 못 사겠어요.ㅠ이 향수는 20대 초반 , 같이 일하던 친구덕분에 알게 됐어요.그 친구가 이 향수100ml를 항상 들고 다니면서 사계절내내사용하더라구여.냄새 너무 좋다며 킁킁거리니깐 뒷날 30ml를 하나 선물해줬어요.넘나 기뻣던 기억이>_< 뚜왈렛이라 너무 찐하지않고 향도 가벼우며 어느 옷에나 다 잘 어울리더라구요.♡ 선물받은 거 다 사용 한 후 화장품가게로 사러갔어요.ㅋㅋㅋㅋㅋ16년전이라 오프라인이 더 빨랐던거죠.ㅋㅋㅋ그 시절에는 굳이 백화점향수코너 안가도 화장품가게에서도 향수를 많이 팔았잖아요.근데... 지금생각해보면 그때 화장품가게 사장님 큰 돈 버셨네...가격 30ml에 오육만원 받고 100ml테스터용 십만원받고 했으니... 20대때 향수에도 돈을 참 많이 썼네요.! 아하하하하하하그치만,30대가 되어도 다시 찾는 걸 보면 이 향은 질리지가 않네요.여러향수 중  이 향이 여름철 원픽입니다.!신랑도 향 은은하니 괜찮다며 저랑 같이 뿌리고 다녀여.ㅋㅋㅋㅋㅋ30ml 하나 더 사서 가지고 다닐까 고민중이네요.^_^달달하고 무겁게 느껴지는 퍼퓸 싫어하시면 가볍고 산뜻한 향을 뿜는 뿌르팜므오드뚜왈렛으로 추천합니당.♡[ 뚜왈렛이라 지속시간은 짧답니당:) ]",아주 만족해요
582222350,짹짹이참새,8040929,5,"로 겐조 뿌르 팜므 오 드 뚜왈렛, 50ml, 1개",2024.03.14,쿠팡(주),N/A,"[주문일 : 2024. 3. 12. 09:50 / 도착일 : 2024.  3. 13. 06:00 ][구매 제품명 : 로 겐조 뿌르 팜므 오 드 뚜왈렛, 50ml, 1개]✔️ 구입계기   - 대학생 때 쓰던 향수라 다시 한번 사보고 계속 이 향수만 쓰고 있어요 ^^✔️ 장점   - 사계절 어울리는 시원한 향이예요 !  - 팜므 ~ 여자 향수라고 하지만  남자한테도 어울리는 프레쉬한 향이예요 !!  - 바닐라향 같은 느끼한 향을 좋아하지 않는 분들에게 딱이예요 ~  - 향수 가격이 만만치 않은데 가성비있는 향수예요 ^^✔️ 단점  - 향이 오래가진 않아서 자주 뿌려줘야해요 ㅠㅠ✔️  재구매의사  - 이런 향을 워낙 좋아해서 계속 이것만 사용할거예요 ~~",아주만족해요
558911456,Heei,2156300,4,"로 겐조 뿌르 팜므 오 드 뚜왈렛, 30ml, 1개",2024.01.12,쿠팡(주),시원하고 깔끔한 가벼운향,"예~전 몇십년전 즐겨 뿌리던 향수가 생각나서 겨우 이름을 기억해내서 다시 주문해봤어요. 시원하고 깔끔한 향으로 기억하는데 그게 소위 오이향? 그런 느낌이었네요. 용기는 물론 리뉴얼 되서 많이 바뀌었지만 깔끔한 향의 느낌은 여전하네요.겨울에도 강한 무스크향보다는 시원하고 가벼운 향을 선호해요. 적당히 몇시간 지속되다가 사라지는 느낌이라 옷에 배이지 않아 더 나은듯해요.용기 뚜껑이 특이해서 처음에 여는데 적응이 안됐는데, 그냥 옆으로 돌려 뽑으면 되네요. 겨울 지나 여름이 되도 즐겨뿌릴듯 해요. 남편에게도 옴므 남자 라인으로 강제선물해서 뿌리게 할까 싶은 시원한 향.",적당히 만족해요
602284025,권*희,127881926,5,"로 겐조 뿌르 팜므 오 드 뚜왈렛, 100ml, 1개",2024.05.15,쿠팡(주),역시,쭉 겐조  이 상품 쓰다가다른제품 써보니 별루라다시 돌아 왔네요~역시  겐조향이 좋네요.,N/A
454449652,앨블리,899819,5,"로 겐조 뿌르 팜므 오 드 뚜왈렛, 30ml, 1개",2023.05.16,쿠팡(주),시원한 오이향,아가씨때 즐겨 쓰던 겐조 향수 ㅎ 갑자기 그향이 그리워 검색해봤더니 아직도 판매가 되고 있더라고요기쁜마음에 주문고고곧 여름이고 땀냄새 나고할까봐 미리 구매했어요 겐조 뿌르 옴므는 남자향수고겐조 뿌르 팜므가 여자향수입니다저도 오랜만에 찾아봐서 헷갈리더라고요 ㅎㅎ여성여성 향보다 중성적인 시원한 향을 원하시는 분들이 픽하면좋을것같아요여름 향수라 말해도 과언이 아닐듯 오이향향수라고도 하죠 시원한 향이고 잔향도 너무 좋아요여름향수 필요하신분들 겟하세요,아주 만족해요
97333976,유*정,117472999,5,"로겐조 뿌르 팜므 오 드 뚜왈렛, 30ml, 1개",2019.12.21,쿠팡(주),N/A,"향수를 시향없이 구매한 적은 처음인데요,남자친구 생일선물로 급하게 찾다가남자친구는 스킨냄새는 싫고 시원한 향이 나는 걸 좋아하고저는 달콤한 잔향이 남는 것을 좋아하거든요사실 몽블랑 흰색 향수가 달콤한 끝향이 있다길래 고민하다가 이 제품을 구매했는데제가 살뻔한 다른 제품보다 훨씬 훨씬 마음에 들어해서 좋았고향이 정말 시원하고 달콤한데 많이 단향이 나는 것은 아니라깔끔하면서 젊은 향이 나서 너무너무 좋았어요스킨냄새 안나고! 가성비 최고에요 ㅠㅠㅠ 시향도 안해보고 너무 잘 샀습니다~~!! ㅎㅎ",N/A
565349598,황*선,110166012,5,"로 겐조 뿌르 팜므 오 드 뚜왈렛, 100ml, 1개",2024.01.29,쿠팡(주),"르파 겐조 뿌르 팜므 오 드 뚜왈렛, 100ml","르파겐조 뿌르 팜므 오 드 뚜왈렛, 100ml20대때 부터 커리어우먼 시절에 사용한 향수예요!지금도 르파겐죠 향수만 사용하고 있어요!오이향같은 향에 새벽풀잎에 이슬이 맺혀영롱한 청초한 향이 코를 자극하여방금 샤워하고 나온듯한 여성향수중에최고의 향수입니다!*^^*",아주 만족해요
574325840,조*실,152468003,3,"로 겐조 뿌르 팜므 오 드 뚜왈렛, 100ml, 1개",2024.02.22,쿠팡(주),짝퉁인듯,후기보고 구매했는데 향이 전혀 없음. 기존 쓰던랑 뿌린 직후 비교해보니 향을 비교할수 없을 정도로 향이 없는건 뭥미ㅎ 30년동안 꾸준히 사용하고 있어서 확신할수 있음. 온라인구매는 진짜 복불복으로 운이 좋지 않으면 짝퉁이 오는듯. 여기서 다신 구매안함,기대에못미쳐요
535179312,짹짹이참새,8040929,5,"로 겐조 뿌르 팜므 오 드 뚜왈렛, 50ml, 1개",2023.11.16,쿠팡(주),시원한 향을 찾는다면 추천합니다 ^^,늘 사용했던 향수라서 떨어질때마다 다시사고 있어요 !바닐라 향 같은 느끼한 향은 선호하지 않아서시원한 느낌의 이 향수는 사계절 잘 사용하고 있어요 ^^남여 상관없이 뿌릴 수 있는것 같아요 !,아주 만족해요
58027916,난싯포얌,109893810,5,"로겐조 뿌르 팜므 오 드 뚜왈렛, 50ml, 1개",2018.10.11,쿠팡(주),N/A,향기가...완전 대박조으다요~^^오래지속되는데... 시간이지날수록 은은해지는향이..아웅~~~♥♥말이 필요없다능~^^재구매200%★★,아주 만족해요
