review_uid,username_2,user_uid,rating,product_name,review_date,seller_name,review_title,review_content,survey_answer
89470017,쿠팡실구매자,-89470017,2,"끌로에 노마드 EDP, 30ml, 1개",2019.09.13,쿠팡(주),N/A,"제조일자때문에 별 다 깎았어요.조금 있으면 2020년도가 다가옵니다.아니 아무리 개봉후 몇년이라지만...무슨 골동품도 아니고,대를 이어서 쓰는 가보도 아니고...19년말에 17년 제품은 좀 아니지 않나요...조향사들이 말하는 노트 이런 설명 패쓰~향 진한편이고 잔향 많고 길어요.달콤하다기보다 조금은 차갑게 세련된 향...도시적인 중성미랄까많이 뿌리면 골머리 아픈향...샤땡 넘버땡처럼 묵직하고 달콤한 향이 아니라남자분들이 사용해도 전혀 이상하지 않을 향그렇다고 남성미 뿜뿜하는 향은 절대 아니예요~술먹은 그담날에 이거 뿌린분 뒤에 서면 속 울렁거리는향...ㅋ경험상...저는 첫 향보다 잔향이 좋아서 사용하는데,용량 큰게 저렴하긴한데 30ml짜리 여러 브랜드 향수놓고 사용하는데,작은 용량으로 구매해서 사용하는게 더 좋더라구요.제조일자만 조금 최근이였으면 별 많이 줬을건데ㅠㅠ그리고 필수표기란에는 제조국이 프랑스로 기재돼 있으나 스페인입니다.그리고 엘지건강...순 엉터리 기재인듯...향수병 바닥에 스티커도 붙어 있고,박스에 보면 스페인이라고 돼 있어요~한번쯤은 가져봐도 될만한 향수 같아요.실패와 반품이 귀찮은분들은 향수 구매전 꼭 올땡이나 백화점 가셔서 시향 해보시고 구매하시는게 좋은것 같아요.다른분 상품평 백날 읽어봐도 내 코와 비위가 가장 정확하니깐요~^^",아주 만족해요
170589994,김*연,20303368,5,"끌로에 노마드 EDP, 75ml, 1개",2021.06.02,주식회사 케이디에스알,N/A,"요즘 날씨가 여자 널뛰듯 오락가락하는데 그래도 더워짐에 따라 좀 산뜻한게 끌려 쿠팡서 찾게됫네요.배송 엄청 빠르게 이틀만에 도착~유효기간 그래도 넉넉~~메이드인 스페인 확인~~~항상 샤*샹*, 코코***, 불가리 로즈***,지미추등 혼합할때도 잇고 한가지만 사용할때도 잇는데 메인향수가 무거우면 같이 무겁더라구요.그래서 찾던중 브랜드것중 후기가 산뜻하다해서 시향햇더니 바로 뿌렷을땐 약간 단향이 먼저 느껴지다 좀 시간지나면 향이 틀려지면서 산뜻한 향이 ~오랫만에 향수 바꿔볼만한거 찾앗네요~~젊은분들보다 30대이후분들 적극추천하구요~분위기잇는향이라 특별한날 사용하면 좋을것같아요.지속되는건 더 사용후 후기남겨볼께요^^개인적으론 당분간 이것만 쓸거 같네요.병도 넘 고급스러워요전반적으로 땡큐입니다~^^",아주 만족해요
92182094,강*호,105719472,5,"끌로에 노마드 EDP, 75ml, 1개",2019.10.21,쿠팡(주),N/A,선물이라 시향 전이긴 하지만 매우 저렴한 가격에 잘 샀네요걱정과 우려했던 유통기한은 아직 1년 미만이라 다행이구요선물 했더니 너무 맘에 들어해 좋았습니다 많이 파세요~,아주 만족해요
131361227,이*화,113126705,4,"끌로에 노마드 EDP, 50ml, 1개",2020.10.20,쿠팡(주),가성비 좋은 향수,"메이드 인 스페인 이라 되어있는데,진품이 맞나요? 영 박스도 좀 조악하고 퀄이.... 오드 퍼퓸 치고 가성비 좋아 구매했는데  제 착오이길  기대합니다.",적당히 만족해요
92241518,채*화,105899851,5,"끌로에 노마드 EDP, 75ml, 1개",2019.10.22,쿠팡(주),N/A,상품 잘 받았구요..리뷰보면서 제조일때문에 좀 신경쓰였는데다행히도 2019년 2월 1일꺼로 왔어여^^향은 맡아보니  중석적인향의 느낌이예여뭔가 걸크러쉬한 여자들이 뿌릴것만 같은느낌의 향수랄까요...아직 뿌려보지는 않았는데여얼른 뿌려봐야겠어여그리고 병이 고급지게 이쁘네요몇일써본느낌은여성스러운 여자여자한 향은 아니예여제동생은 별로라는데 전 만족해용그리고 여태써본 향수중 지속이 오래가는 향수예여,적당히 만족해요
129291262,김*미,59035421,5,"끌로에 노마드 EDP, 30ml, 1개",2020.10.04,쿠팡(주),N/A,"원래 끌로에 오드퍼퓸 제일 기본 장미+비누향 을좋아했고 몇년째 그것만 썼어요! 이번에도 똑같은걸로구매하려다가 새로운 노마드를 보게 되었고사실 케이스가 너무 세련되고 이뻐서 덜컥 구매하게되었습니당.. 처음에 뚜껑 열었을땐 너무 놀랬어요ㅠ기존의 끌로에 시그니처인 장미향이 아예 나지 않았고남자 스킨 향 같은 제가 싫어하는 향이 나서요ㅠ그치만 맡기 싫을 정도는 아니고 조금씩 달콤해지네요 중성적인 매력적인 향 같아요 대학생 보다는 회사원(?)이 뿌리기 좋고 관능적인 향 같아요 시향을 해봤다면 사실 전 안 샀을수도있을거같아요. ㅠ여성적이고 여리여리 해 보이기 보다 좀 무게감 있어요. 잔향은 엄청 오래갈듯해요.역시 향수는 시향을 해보고 사야할거같아요!처음으로 이렇게 리뷰 길게 남겨보네용한줄평은, 사랑스러운 여자보다 커리어우먼 여자에게 더 어울릴거 같은 향이에요 ~~",N/A
114716495,김*리,7776286,5,"끌로에 노마드 EDP, 75ml, 1개",2020.05.27,쿠팡(주),N/A,"봄여름용 향수를 찾다 올***에서 우연히 향 맡아보고 너무 좋아 자꾸 생각나서 오드퍼퓸 75ml로 구매했습니다 :)평소 좋아하는 향이 비슷하시면 참고하면 될거같아요 ! 저는 플로럴, 블랙머스크, 바닐라향을 좋아하고 현재 정착한 향수는 샤넬 가브리엘 2병째 사용중이였어요! 여름에 쓰기엔 살짝 무거운 느낌이 있어 좋은 향 찾다 풀, 꽃, 약간의 우드계열 향이 나서 사게 되었어요! 지속력도 너무 좋아 다음날도 옷에 남아 있어 기분 좋아지는 향입니다! 향이 은은하게 오래남아 1-2번만 뿌려 사용해야 좋을 것 같아요가격이 저렴해 리뷰도 꼼꼼히 보고, 구매했는데 참고로 저는 2020년 1월에 제조된 따끈따끈한 상품으로 왔어요 참고하세요 :)",아주 만족해요
140347164,초이네,6578783,5,"끌로에 노마드 EDP, 50ml, 1개",2020.12.24,쿠팡(주),여성스러운 우드향 ♥,"♥ 직접 구매하고 쓰는 솔직한 후기 ♥➖구매동기올리브영에서 준 사은품 써보고 너무 향이 좋아서 구매하러 왔어요 ㅎㅎ✔️포장, 제품 디자인포장 안전하게 잘왔습니다 제품 디자인도 여성여성스럽고 견고하네요 ㅎㅎ✔️가격 가격도 생각보다 저렴하게 샀어요 네이버보다 저렴한듯요!✔️사용후기요즘 겨울철 우드향에 빠져서 이건 딱 여성스러운 우드향이네요. ✔️지속력하루 지나고도 향이 남아요, 제가 산 향수중 제일 오래가네요.➖총평이건 평생 제 향수로 쓰고싶어요. 지속력 향 다 최고에요!",아주 만족해요
72334191,조*경,39445200,4,"끌로에 노마드 EDP, 30ml, 1개",2019.02.27,쿠팡(주),N/A,"제조일로부터 2년11월이 사용기한인데 2017년11월 제조네요. 1년 반 가량 지난 제품이라 좀 찜찜하지만 그래도 저렴한 가격에 구입했으니 만족하며 쓰려고 합니다. 원래 쓰던 향이라 향은 만족하고, 결제하고보니 50ml가 5만원대네요..... 30ml 는 정말 작아요 다음엔 큰 용량으로 사야겠어요",아주 만족해요
92380732,김*아,117686366,5,"끌로에 노마드 EDP, 75ml, 1개",2019.10.23,쿠팡(주),N/A,"다른분들 제조 일자 때문에 별점 많이 깎으셨던데 저는 행운아 인가 봅니다,, 2019년 올 해 제조된 아이로 왔구요 올리브영에서 시향했던 그대로 향도 똑같고 출근할때 4번 펌핑해서 뿌리고 나갔는데 퇴근해서 씻기 전까지도 손목에 향이 남이있었어요,, 테스트 할때도 지속력 최강인건 알고있었는데 본제품 사니까 진짜 너무너무 좋네요 ㅠㅠ 대용량 이렇게 저렴한 가격에 그것도 총알배송으로 구입할 수 잇다니 감동 ㅠㅠ 좋은 상품 감사합니당 흑흑",N/A
