review_uid,username_2,user_uid,rating,product_name,review_date,seller_name,review_title,review_content,survey_answer
572180133,김*지,151785592,5,"크리스챤 디올 소바쥬 오드퍼퓸 100ML (남자향수1위) (쇼핑백증정) (무료배송) (당일배송), 1개",2024.02.17,제이글로벌,면세점에서 산 것과 비교해봤는데 동일하네요,"향수를 백화점이나 면세점에서 사지 않으면 불안한 느낌이 드는 건 사실인데요.너무 싸기도 하고, 궁금하기도 해서 주문해봤어요.사실 얼마 전에 일본여행을 다녀오면서 입국 전 면세점에서 동일 제품(60ml)을 주문해서 사용해보았습니다.설 연휴가 끼어서 해당 제품이 며칠 배송이 걸려서 도착했어요. (그건 중요하지 않았어요 급하지는 않았으니까요)개봉 동영상을 보셔서 아시겠지만, 비닐포장도 잘 되어 있었고 열어서 용기를 열어보았고 향도 확인해보았는데 면세점에서 산 제품과 동일한 것 같아요.백화점에서 시향해보고 잔향이 맘에 들어서 구입했습니다. 남편에게 뿌려주고 향을 맡으니 기분이 더 좋아지네요.사도 될지 고민 중이신 분들께 추천드려요.아, 그리고 센스있게 쇼핑백도 제공해주셨어요.선물용으로도 아주 좋습니다.♡♡♡☺️찐 경험을 바탕으로 솔직하고 진정성있는 리뷰어로 거듭나겠습니다.☺️제 리뷰가 도움이 되셨다면 '도움'버튼 꾹 한번만 눌러주세요. 감사합니다❤️",아주만족해요
602978859,이*재,153090194,5,"크리스챤 디올 소바쥬 오드퍼퓸 100ML (남자향수1위) (쇼핑백증정) (무료배송) (당일배송), 1개",2024.05.18,원데이모카,정말 정품이네요,"여행시 해외서 산 정품이 떨어져가 검색중넘 싼가격에 아님 반품하자하고 구매햇는데발향이 정품과같고, 지속력과 3-4시간 후 잔향까지 같네요",아주만족해요
587873592,강*정,4976879,5,"크리스챤 디올 소바쥬 오드퍼퓸 100ML (남자향수1위) (쇼핑백증정) (무료배송) (당일배송), 1개",2024.03.29,제이글로벌,향지속력이 조금 약해요,남편선물로 구매했는데 향지속력이 빛의 속도로 사라지네요 그것만 빼면 좋습니다,보통이에요
578040032,배*숙,76767122,5,"크리스챤 디올 소바쥬 오드퍼퓸 100ML (남자향수1위) (쇼핑백증정) (무료배송) (당일배송), 1개",2024.03.03,제이글로벌,최고의 향,은은한 듯 감각적인 향이네요왜 현재 1위인지 알겠더군요남자인 저 스스로 반했 습니다,아주만족해요
554070832,이*주,132768194,5,"크리스챤 디올 소바쥬 오드퍼퓸 100ML (남자향수1위) (쇼핑백증정) (무료배송) (당일배송), 1개",2024.01.01,제이글로벌,만족스런 향입니다.,백화점 매장 지나가다 우연히 시향했는데 향이 마음에들어 눈여겨보았다가 귀가후 구매하였습니다. 백화점대비(18만) 가격경쟁력도 있고 만족합니다.머스크향에 약간의 꿀향기가 나며 30대후반~50대초 남자분들 이미지입니다.,아주만족해요
565929933,김*철,154882629,5,"크리스챤 디올 소바쥬 오드퍼퓸 100ML (남자향수1위) (쇼핑백증정) (무료배송) (당일배송), 1개",2024.01.31,제이글로벌,엄청 많은 양과 싱그러운 향 일년 동안 편한 마음으로,엄청 많은 양과 싱그러운 향 일년 동안 편한 마음으로 세계 제일 향수를 뿌리고 다닙니다,아주 만족해요
600547653,김*재,158606441,4,"크리스챤 디올 소바쥬 오드퍼퓸 100ML (남자향수1위) (쇼핑백증정) (무료배송) (당일배송), 1개",2024.05.09,제이글로벌,괜찮아요,N/A,보통이에요
576411315,최*근,114217995,5,"크리스챤 디올 소바쥬 오드퍼퓸 100ML (남자향수1위) (쇼핑백증정) (무료배송) (당일배송), 1개",2024.02.28,제이글로벌,아저씨의 풍미가 깊어지는 향,나이먹은 늙은이를 한층더 멋스럽게,아주만족해요
578677807,김*영,45974043,5,"크리스챤 디올 소바쥬 오드퍼퓸 100ML (남자향수1위) (쇼핑백증정) (무료배송) (당일배송), 1개",2024.03.05,제이글로벌,고급스런 깊은향 너무 좋네요,아침에 뿌리면 오후까지 잔향이 남아있어요,아주만족해요
599174141,안녕하쇼오,114826546,5,"크리스챤 디올 소바쥬 오드퍼퓸 100ML (남자향수1위) (쇼핑백증정) (무료배송) (당일배송), 1개",2024.05.03,제이글로벌,잔향이 너무 강하지 않고 세련된 향에 대만족 입니다,N/A,아주만족해요
