review_uid,username_2,user_uid,rating,product_name,review_date,seller_name,review_title,review_content,survey_answer
220256667,율뽕이,110757063,5,"랑방 루머2로즈 오 드 퍼퓸, 30ml, 1개",2021.10.21,쿠팡(주),은은하면서 달콤한 장미향을 원한다면~!,"랑방은 무난하게 연령대 관계없이 사용하기 좋죠3년전쯤 한창 랑방계열에 꽃혀있을때 잔느부터 시작해서 모던프린세스까지 다 써봤죠ㅋㅋ 모던프린세스,오센슈얼은 너무 달달해서 가끔씩쓰기좋구 에끌라드아르페쥬는 국민향수에 첨 향수입문템이였구 향이 너무빨리 날아가서 별루였구... 그나마 잔느가 괜찮았어요~ 그러다 한창 에끌라드플레르가 딱 제 취향이더라구요~ 시원하면서 꽃향기가 어우러져있어서 청량감있구요^^ 그러다 루머2로즈를 사용해봤죠~ 솔직히 병자체는 랑방중에 젤 투박하고 안예쁜데다 핑크핑크해서 별로였는데 의외로 향이 아주좋아요~ 살짝 달달하면서 시원한향에 장미향이 어우러져있으니 일석삼조더라구요ㅋ 단 한가지 이건 제 개인적인 생각인데 너무자주수시로 뿌리면 약간 찌린내?같이 나는 경우도있더라구요ㅋㅋㅋ 뭐이건어디까지나 제 개인적인 생각이고 제 후각이 그렇게 느끼는거니~ 뭐든지과하면 별루잖아요?^^ 지금은 지미추블러썸에 꽃혀서 이것만 주구장창쓰는데 오랜만에 루머2로즈 써보니 은은하니 가을에 쓰기 딱이네요그래서 50미리도 쟁겨두려고 미리구매했죠ㅋ 요거 30미리는 로켓배송치고는 2일이나 걸린게 아쉽지만 기다린보람이 있듯이 기분전환으로 데일리로 뿌리기에 최고입니다! 은은하며 여자여자한 세련된 향 가격은 넘비싸지않은 그런향수 찾는분들 추천드립니다",적당히 만족해요
595269834,applewave,115876694,4,"랑방 루머2로즈 오 드 퍼퓸, 100ml, 1개",2024.04.20,쿠팡(주),상쾌한 향수를 구입하고싶었어요,"기존에 랑방 잔느, 메리미를 쓰다가 지난 가을에 가을겨울에 어울리는 향수인 화이트머스크를 썼습니다.랑방잔느와 메리미는 예전에 썼기때문에 지금다시쓰려니 향이 너무오래되 변한거같더라구요. 그렇다고 화이트 머스크를  쓰기엔 계절에 어울리지 않는 너무 무거운 느낌이었습니다.잔느가 봄의 상큼함이 느껴져서 그걸사려다가 이향수를 봤어요. 로즈라고하니 봄에 어울릴거같고 후기도 좋아 구입했습니다.배송중 흔들리고 그대로 사용하면 알콜향이 나기때문에 한시간이상 두고 썼는데 로즈향은 그닥 안나네요.저는 향수이름보고 로즈생화향을 기대했거든요.(보통 택배배송으로 향수를 받게되면 2ㅡ3일은 지난후에 사용해야 본연의 향기를 제대로 느낄수있다고 합니다^^)1. 유통기한ㅡ27년 8월 1일로 매우 넉넉해요.(공식 수입원 코익의 정품 인증  국문라벨이 박스에 부착되어있어 가품의 의심은 하지않아도 됩니다)2.용량ㅡ100ml3. 제조국 ㅡ프랑스4. 향ㅡ첫향: 시트러스 계열(오렌지, 레몬, 베르가못,그레이프후르츠)ㅡ중간향: 감각적이고 부드러운향(화이트로즈)ㅡ잔향:매혹적인섹시향(머스크, 우드,앰버)첫향은 상큼한 향인데 시간이 지나면 조금은 무거운 잔향입니다.개인적으로 잔향도 조금 가볍고 상큼했으면 좋겠다싶었는데ㅎㅎ아무래도 머스크와 우드향 계열이 베이스로 있으면 어쩔수없이 잔향이 무겁게 남나봅니다.오드 뚜왈렛보다 오드 퍼퓸이 더 향이 오래간다고하는데 이 용량에 이가격에 오드퍼퓸이라면 가성비 좋은 향수 같아요.막 뿌려쓰기좋고 입문용으로 좋다고 생각됩니다.",보통이에요
41274271,이*인,108862997,5,"랑방 루머2로즈 오 드 퍼퓸, 100ml, 1개",2018.02.26,쿠팡(주),N/A,"배송받은 날 2/9이 향수만 사용한지 9년째예요.생일 선물로 받았는데 뭔가달달하고 은은한게 딱 제 취향에 맞았어요.중간중간 불가리나바디미스트등 유명 브랜드도 사용해봤는데 너무 강하고 저랑맞지 않아서 지인들 나눠주고 매장서 쭉~비싼가격에 구입해쓰고있었죠.상품평 호불호가 갈리다보니 가격도 저렴하고해서 신경 쓰였지만 매장에서 구매한 정품과 비교해보니 포장박스에 개봉후 교환,환불불가라고 적힌 작은스티커 없는거랑제품밑면에 사진과 비교해보면 아시겠지만(오른쪽이 매장구입제품)종이스티커 빼고는 향도 지속력도 똑같았어요.직장에서도 이향기로 제 출근여부나 머물렀던걸 직원들이알정도로 발향이 약하지않고 은은하게 납니다.많이 뿌리냐구요?No~양쪽 귀아래쪽에 한번씩. 공중에 한번 분사해서 스며들게~ 제 딸도 이향수 향기좋다고 중요한 약속 있을때 빌려쓸 정도예요.전 앞으로도 쿠팡에서 구입할거예요.*첨 배송받고 간혹 알콜향이 난다고 정품 아닌거 아니냐는분들 계신데 배송과정에서 흔들림 때문인듯 하더라고요.저는 바로 사용 안하고 2~3일정도 후에 사용해요.혹시 알콜향이 강하게 난다면 며칠후에 사용해보세요~",아주 만족해요
596875441,지풍승,119314759,5,"랑방 루머2로즈 오 드 퍼퓸, 30ml, 1개",2024.04.26,쿠팡(주),좋은향입니다.,출근할때 아침마다 살짝 뿌리고 나오는데~너무 기분 좋은 향입니다.한번씩 잊고 못뿌리는 날엔 왠지서운함이 느껴져요~추천합니다.,아주만족해요
157580053,잉잉b,39663418,5,"랑방 루머2로즈 오 드 퍼퓸, 30ml, 1개",2021.04.04,쿠팡(주),N/A,원래 쓰던 향수를 다 썼어영ㅋㅋㅋㅋ 쓰던거 다시 쓸까 하다가 전에 쓰던건 비싸기도 하고 이제 조만간 백수예정이라 돈도 없는데 사치다 싶어서 안살라고 했는뎅또 없으니까 허전하고 막 그래서ㅋㅋㅋㅋㅋㅋㅋ향수 검색하니 이게 뜨더라구요? 가격도 싼데 공식수입이라길래 그냥 홀린듯이 주문했어염. 이만원정도 저한테 쓸 수 잇잖아요? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ근데 박스에 씰이나 미개봉씰? 테이프가 붙어있을 줄 알았는데 이건 없었어요. 그래도 공식수입이니까 믿고 개봉!!! ㅋㅋㅋㅋㅋㅋ병이 핑크핑크해서 어디다둬도 잘어울리고 예쁨요 향은 꽃+머스크 향이 난리도 아니예요. 저 향수 좀 마니 뿌리는데 이건... 한번만 뿌려도 진해요. 그냥 시향해본다고 배송받자마자 한번 살짝 뿌렸는데 아직까지도 향이 계속나요ㅋㅋㅋㅋ 넘좋긔 엄청엄청 살랑살랑한 꽃향기에 너무 좋은데 이제 점점 더 따뜻+더워지면 뿌리기힘들 것 같아용ㅜㅜ저한테는 머스크 향이 더 진하게 다가와서ㅠㅠㅠㅠㅠㅠ 얼른 더 더워지기전에 마니 뿌려야겠어요,적당히 만족해요
499603284,이*영,46512072,5,"랑방 루머2로즈 오 드 퍼퓸, 50ml, 1개",2023.08.26,쿠팡(주),N/A,향수 입문자용으로 추천해요ㅎㅎ^^성인식 선물로도 좋을것 같아요.향이 강하지 않고잔잔하면서 상큼한 꽃향기라 굉장히 러블리한 느낌이예요.2~30대 여성이 사용하기 좋을 것 같지만그 이상의 연령대도 나쁘지 않아요.애기엄마들 강한 향기 나면 부담스러울수 있잖아요?그런데 랑방 루머는 향이 은은해서 좋아요.지속력이 쬐~~~끔만 더 강하면 좋을텐데그 부분이 좀 아쉬워요.향도 좋은데 병이 예뻐서 더 손이 가는 향수랍니다^^사실 저의 최애 향수는 불** 제품인데이상하게 그건 애들이 싫어하고 같이 차에 타면 어지럽다더군요.그런데 랑방 루머는 어지럽단 얘기도 없고우리집 쪼꼬미는 향을 좋아해서가끔씩 살짝 뿌려주기도 한답니다.그만큼 향이 자극적이지 않아요~^^게다가 가격도 착해요.그래서 불**에서 랑방 루머로 바꿨어요.겓,아주 만족해요
152558690,konafish,110487107,5,"랑방 루머2로즈 오 드 퍼퓸, 30ml, 1개",2021.03.05,쿠팡(주),블라인드 구입 성공 ! 은은한 아름다움있는 향수,쿠팡 후기 읽고 랑방 루머2로즈 블라인드구입. 지인 선물했는데 너무 좋아했고 그래서 저도 쓰려고 두번째 주문했어요.  친구가 선물 개봉할때 처음 향기 맡았는데 은은한 꽃향에 아주살짝 달달하고 끝에 로즈 향 스쳐서 너무 사랑스러웠어요. 20대부터 60대 어머니까지 연령제한 없이 누구나 어울릴 향이예요. 향기가 무겁지 않아 사계절 잘 쓸거 같습니다. 가족들이 머리아파하지 않아 다행이구요. 사계절용 제일적기는 봄여름일듯요. 그리고 보틀을 하루이틀 안정화시키면 본연의 향이 더욱 살아날거 같아요.  올영대비 가격이 낮아 이상했지만 품평읽고 실제 향기 맡으니 안심이예요. 랑방 잔느와 더불어 패션 향수로서는 앞으로 오래도록 함께할거 같습니다.  지난번엔 쿠팡비닐에 본품상자 덜렁 왓는데 오늘은 뽁뽁이 비닐 넣어주셨네요.,아주 만족해요
148680308,윤보들,125770131,5,"랑방 루머2로즈 향수, 100ml, 1개",2021.02.09,주식회사 케이디에스알,뿌리면 공주된 듯~,제품은 우체국택배로 안전하게 배송됨♡용기디자인나무랄데 없이 깔끔 그자체심플하고 군더더기 하나없이 맘에 쏙듬♡향달콤하고 사랑스러운 향데이트하시는 여성이 사용하시면엄청 사랑 받을거 같음러블리하고 꽃향기 같기도 하고나도 이십대로 돌아가고 싶은 마음시간을 거꾸로 돌릴수만 있다면♡지속력 힌번 뿌리면 하루 종일 지속됨하루에 피로나 스트레스가 날아갈 거 같음코로나로 인해 집에만 박혀 있으니답답한데  (다들 심정 알고 계시죠?)꽃밭이나 정원에 와 있는 기분오월의 신부 같다고나 할까요?산뜻하고 생기 발랄한 그런 향~♡양도 많고 가격대비 너무 괜찮네요구매에 참고하세요다들 이뻐지시고 사랑 받으시길~여자는 꽃이니 꽃향기가 나야 되지 않을까요?마음속에 향기로 쭉욱 간직하고 싶을만큼너~무 마음에 듭니다~^^,아주 만족해요
43701930,플로렌시아,103670173,5,"랑방 루머2로즈 오 드 퍼퓸, 100ml, 1개",2018.04.02,쿠팡(주),N/A,로캣배송으로 안전하게 받았구요.뿌려보긴 했는데 이동중에 흔들렸기 때문에 제품이 안정이 된 몇일후 다시 뿌려보고 후기 적으려고 합니다.♡5개월 사용후기♡4월초 구입해서 지금까지 데일리로 팍팍 뿌리고 다녀요.대략 2센치 정도 남은거 같네요.같이 일하는 동료가 무슨 향이냐고 구입하고 싶다고 물어보기도 하고 잔향도 오래가고 섬유에 뿌려야 더 오래갑니다.사계절 무난하게 사용 가능합니다.개인적으로 장미향이 강하진 않고 가벼운 여러 꽃향기와 섞여있고 싱그럽고 상큼합니다.십대부터 나이든 여성까지 사용할수 있는 무난한 향수란 생각이 드네요.,아주 만족해요
351850739,긔염도라미,62670006,5,"랑방 루머2로즈 오 드 퍼퓸, 100ml, 1개",2022.08.24,주식회사 케이디에스알,달콤한 향기,❤️구매이유:로즈향이 나는 향수를 사고 싶어서 구매했어요 ❤️구매후기:⭐️⭐️⭐️⭐️⭐️❤️달콤한 향기:뿌린후 달달한 향기가 확 나더라고요. 여자여자한 향수 이구요~로즈향보다 고급진 화장품 향이 로즈향 그리고 달콤한 꽃향기가 계속 지속되네요 ❤️고급진 향기 이라서 구매후 실망하지 않고 너무 맘에 들어요 ❤️프랑스산 향수 다워요~❤️매일매일 잘 뿌리고 다닐거 같고 4계절 다 어울리는 향수 같아요~ ❤️킁킁 계속 맡고 싶은 향기 이고 대용량 100ml이라서 한참 사용 할거 같아요^^,아주 만족해요
