review_uid,username_2,user_uid,rating,product_name,review_date,seller_name,review_title,review_content,survey_answer
524131135,박*홍,77739815,3,"러쉬 더티 솔리드 퍼퓸 고체 향수, 6g, 1개",2023.10.22,진천물류센터,더티 스프레이와 비슷한거 같지만 비누향??,더티 스프레이 구매후 너무 너무 만족해서 고체형도 구매해볼까 해서 구매 했습니다.스프레이 처럼 강력한 향이 아니라서 약간 . . 향은 비슷하긴 한데 파라핀향이 약간 섞여 나는거 같아서 조금 실망 했네요. 잔향이 더티 스프레이와 조금 다른거 같고별로입니다.그리고 뚜껑 열어 손가락으로 바르는게 좀 불편하구요. (바를때 마다 손을 씻어야함)립스틱 처럼 용기를 바꾸는게 더 나을듯 싶어요.(6g 에 가격도 비싼데 용기가 얼마한다고. )재구매는 안할거 같아요. 스프레이가 더 나아요.아.   그리고 저희 엄마가 받아 보시고 뜯어 보셨는데 충전 알맹이가 과자인줄 아셔서 깨물어 보셨다네요. 불필요 했던거 같아요. .,만족스럽지 않아요
114830866,김*준,112127341,4,"러쉬 더티 솔리드 퍼퓸 고체 향수, 6g, 1개",2020.05.28,주식회사 러쉬코리아,은은한 더티향을 느끼기엔 좋습니다,스프레이의 풍부한 형과 지속력은 없지만 나름 덧바르며 은은한 향을 원하면 괜찮아요,적당히 만족해요
447450483,안쓰고뭐해,50660945,5,"러쉬 더티 솔리드 퍼퓸 고체 향수, 6g, 1개",2023.04.29,쿠팡(주),N/A,선물로 러쉬제품을 보다가 고체향수도 알게되었고더티향이 제가 좋아하는 향일꺼 같아서 사용해보고 싶어서 구매하게 되었습니다.후기에 향이 금방 날라간다 찐득거린다는 후기가 있어서 구매를 망설였는데 저는 사실 둔한편이라;; 찐득거리는건 못느꼈고향은 금방 날아가긴 하는데 머리끝에 살짝 발라놓으니 조금더 유지되긴 하네요 .향은 목욕탕 다녀오면 날꺼 같은 향?깨끗하게 씻고 나온거 같은 향 이랄까요ㅋㅋ정확히는 표현을 못하겠는데 여성스럽고 달콤한 향 보다 중성적이고 시원한 향 좋아하시면 무난~하게 좋아하실꺼 같네요,아주 만족해요
447662342,김*정,24230404,5,"러쉬 더티 솔리드 퍼퓸 고체 향수, 6g, 1개",2023.04.29,쿠팡(주),그들의 특유 냄새를 막기위해.. 러쉬..,스프레이처럼 미친든이 뿜뿜 아니고 적당히 남아서 좋네요더티가 암만봐도 젤 좋음여자임,아주 만족해요
463717756,양*정,112848776,5,"러쉬 더티 솔리드 퍼퓸 고체 향수, 6g, 1개",2023.06.07,쿠팡(주),"옥수수콘을 사니 향수가 왔쪄여
냄새 좋아요~~~~~",+써보니 액체만큼엄청 팡팡 나는건아닌데 은은하게 좋아요바르고 나서 시간지나면 향이 안나서 날아갔나?생각드는데시간지나도 좋은냄새 난다고 주변에서 말할때 있는거 보면 지속력 ㄱㅊ 한듯!,아주 만족해요
535786752,pa7149,30284366,4,"러쉬 더티 솔리드 퍼퓸 고체 향수, 6g, 1개",2023.11.18,진천물류센터,냄새에 민감한데 이 제품은 좋네요,후각이 너무 발달되서 향수냄새든 무슨 냄새든 민감하게 반응해서 힘든데 이 제품은 저에겐 괜찮은듯해요.지인이 더티향이 젤 낫다고 추천해서 구입했어요~,아주 만족해요
344925474,저장하기2,40119980,5,"러쉬 더티 솔리드 퍼퓸 고체 향수, 6g, 1개",2022.08.07,쿠팡(주),N/A,배송받고 실링 안되어있어 매우 당혹스럽. . ;;;뭔가요? ?러쉬매장서 테스터후.만족해서 구입했는대실링 안된게 뭔가 찝찝하네요,아주 만족해요
453010263,김*은,123624373,1,"러쉬 더티 솔리드 퍼퓸 고체 향수, 6g, 1개",2023.05.13,쿠팡(주),뭔 표면도 불룩하고 옆에 향수 찌꺼기도 있네요...,걍 쓸거긴 한데 제가 이 리뷰들 중에서 제일 에바네용,적당히 만족해요
336071040,오*람,38437982,5,"러쉬 더티 솔리드 퍼퓸 고체 향수, 6g, 1개",2022.07.15,쿠팡(주),역시 더티 미만잡 but 지속력은 별루,사무실에서 탈취용도로 사용하고자 구입냄새는 스프레이랑 거의 흡사 (여름에는 진짜 더티 미만잡)바르자마자 바로 미들로 넘어가는 느낌지속력은 기대하지 마시고자주자주 발라줘야 유지됨 크기는 아주 작으니 사진참고,아주 만족해요
317575126,쭈블셔블,25574744,5,"러쉬 더티 솔리드 퍼퓸 고체 향수, 6g, 1개",2022.05.31,쿠팡(주),로켓 선물하기로 생일선물 보냈어요,마음에 든대요 향이 진하지 않고 시원해서 여름에 잘 맞는 향이라네요 ㅎㅎ선물로 딱 좋은 제품이라는 생각이 드네요요즘 고체향수나 향기 바디로션에 빠져서 다음에 제 것도 하나 사려고요그나저나 러쉬 제품은 제스티 향이 가장 제 취향인데 고체는 제스티가 없나보네요 아쉬워요~,적당히 지속 돼요
