review_uid,username_2,user_uid,rating,product_name,review_date,seller_name,review_title,review_content,survey_answer
535746196,o쭘쭘o,156368505,5,"모스키노 아이 러브러브 오드뚜왈렛, 30ml, 1개",2023.11.18,쿠팡(주),인생향수♡♡ 늘 변함없는 향기♡ 쪼앗♡♡,"인생향수♡♡♡거의 10년째 쓰고 있어요:-)개인적으로 좋아하는 향기제품들...샴푸나 트리트먼트/바디워시/향수/방향제/탈취제 등등좋아하는 향을 꾸준히 쓰는편이고...단종되거나 리뉴얼되지않는한은...한제품을 오래쓰는편이예요.모스키노 아이러브러브 오뚜왈렛은...진짜 제 인생향수인데요.봄부터 가을까지 잘어울리는 향기고~40대가 된 지금은 사계절내내 사용하는 향기에요.30대 후반까지는...악세사리샵에서 손님들을 응대하는 일을했었는데외적으로 보이는 직업이나~ 화장이나 옷등을신경쓰는편이였고, 무엇보다 향수를 봄ㆍ여름ㆍ가을사용하는것과 겨울에는 다른향을 쓰곤했는데요.이제품은 정말 남ㆍ여 불문하고~ 무슨 향수 쓰는지 정말많이 물어봤던거 같아요.다만...아쉬운거라면....지속력이 약해서~ 공병에 향수를 덜어서틈틈이 뿌려주곤했는데요. 그럴때면~ 1차때뿌린 은은함과 2차때 뿌린 상큼한향이 만나~더욱 시너지효과를 누리곤했죠ㅎㅎㅎ향수이름 뭐냐고~ 물어보던 분들에게무턱대고~ 아이러브...하는 순간~ 당황당황 하던 표정들이 생각나네요ㅎㅎ그이후엔 꼭!!!모ㆍ스ㆍ키ㆍ노 아이러브러브라고 이야기해드리면그런 향수도 있냐면서~ 이름까지 귀엽다곤했는데...가격이 저렴해서 마구~뿌리기도 좋고~ 독한향이 아니라~ 자몽? 오렌지?같은 상큼한 향이라봄여름에 진짜 딱이예요♡♡♡대신 땀이 많으신분이라~ 여름에는 조심하셔야하는게땀냄새와 섞이면~ 진짜 시큼해져서 땀냄새와섞일수있으니~ 시원한곳에 일하시는 분들께만 ㅊㅊ!!항상 작은크기 ml를 사서~ 금방금방 사용하고~재구매하는편인데...요즘은 거의 집순이라ㅎㅎ간간히 쓰다보니~ 작은것도 꽤 쓰네요:-)큰병으로 쓰면~ 향이 좀더 약하고~ 금방 날아가는거같아서작은병으로 꾸준히 쓰고 있어요~30ml 랑 50ml만 구매하는편이고, 그이상은 큰걸사진않아요~ 50ml보다는 30ml를 더 선호하기도 하구요.뚜껑 여닫을때 마다 날아가는 향도 무시하지 못하니...사용빈도가 높으시다면 작은제품을 사용하시면서떨어지면 다시사는게 좀더 향을 진하게 쓰실수있는 방법이 될꺼 같습니다♡♡♡모스키노 아이러브러브처럼 상콤ㆍ달콤한행복한 나날들만 함께하시길ㅡㅡ❤️❤️",아주 만족해요
566722332,박*름,29256130,5,"모스키노 아이 러브러브 오드뚜왈렛, 30ml, 1개",2024.02.01,쿠팡(주),이거 아직도 구매 안하셨어요??,특별한 날 선물로는 딱이에요~!초경을 한 아이에게 어떤 선물이 좋을까 고민을 여러번 했어요~그런데 딱 좋은 선물이 없더라구요~이제 중학생이 되는 아이에게 향수를 선물하면 어떨까 생각을 하고 써치를 했지요~너무 부담되지 않고 발랄한 아이에게 딱인 향을 찾아 헤매고 있었는데 이 향수가 딱 보이는 거에요~그래서 구매를 하고 아이에게 선물로 주니 너무 좋아하더라구요~향기도 무겁거나 올드하지 않고 산뜻하고 어린 중학생이상인 친구들에게 딱 어울리는 향이에요~아이도 향수 병도 예쁘고 향기도 마음에 든다고 해요~그래서 매일 사용하는 것 같아요~아이의 방을 지날때마다 향기가 나네요~,아주 만족해요
399462433,박민희,1612795,5,"모스키노 아이 러브러브 오드뚜왈렛, 30ml, 1개",2022.12.29,쿠팡(주),상큼한 향이 가득가득한 향수예요.,"♡모스키노 아이러브러브 오드 뚜왈렛 사용후기♡회사동료에게서 좋은 향기가 나길래 무슨 향수를 사용하냐고 물으니 추천해 준 향수 입니다.풋풋했던 나의 20대를 생각나게 해 주는 향수랍니다이 향수의 향은 시원하고 청량한 느낌이 들고 산뜻하면서 가볍게 뿌릴 수 있는 향수이지만 은은하게 지속력이 강한 향수 이기도 합니다.회사동료에게서도 시원 상큼 달달한 향이 나서 지나갈때마다 향기 너무 좋다라고 말을 했거든요.일단 배송은 물건 흠집없이 왔어요.이 향수는 가볍고 중성적이라 남녀노소 누구나 사용하기 좋은 향입니닷.파란색의 시원한 바디병에 오렌지색 컬러의 뚜껑이 재미있는 디자인의 향수입니다.*제조사: 모스키노*종류: 오드 뚜왈렛*타입: 스프레이형*메인향: 플로럴, 머스크, 프루티프레쉬 가격도 착하고 향기도 좋고 정말 마음에 드는 향수 입니다. 용량도 좋아서 수시로 뿌려도 좋아요.은은하게 풍기는 향기가 너무 좋아 하루종일 킁킁 거렸습니다. 너무 맘에 드는 제품입니닷!",아주 만족해요
591422643,김*현,15905698,5,"모스키노 아이 러브러브 오드뚜왈렛, 30ml, 1개",2024.04.07,쿠팡(주),짱좋아요 많이 사세요 단종되면 안돼..,생김새가 너무 갖고싶게생겨서 예전부터 눈독들이고있었는데.. 향수 시향 안 해보고 샀던 것들이 딱히 맘에 들었던 적이 없어서 계속 고민하다가 사봤어용 근데!!!진짜 짱좋아요!!! 처음 뿌리자마자는 자동차 방향제같은 뉘앙스라 앗 당했다.. 했는데 몇 분 지나니까 완전 상큼+ 살짝 달콤한 느낌으로 변하는데 부담스러운 향 전혀 아니고 은은하니 너무 좋아요... 미쳤다.. 이거 이제 오프라인에서 파는곳 못 봤는데 단종되는거 아니죠..? 유통기한 27년까지니까 미리별로 쟁일거예요... 제가 많이 사고 주위에 많이 알릴테니 단종시키지말아주세요..니치향수만 사모으다가 패션향수 옛 추억 회상겸 사본건데 이전에 샀던 향수는 눈에 안들어와요 완전히 꽂혀부럿어~.~,아주만족해요
54991201,yxjxx,113761084,4,"모스키노 아이 러브러브 오드뚜왈렛, 30ml, 1개",2018.09.02,쿠팡(주),N/A,포장도 괜찮고 다 괜찮은데.. 향수 냄새보다는 알코올 냄새가 많이 나네요. 계속 쓰다보면 본향 냄새가 더 나길 바라며 씁니다..,적당히 만족해요
180332778,KHU********* *********,108254057,5,"모스키노 아이 러브러브 오드뚜왈렛, 30ml, 1개",2021.06.28,쿠팡(주),좋아서 늘 써요,사계절내내 늘 뿌리고 다녀요 향이 강하지 않아서 좋아요,아주 만족해요
584046172,쿠펑조하,2974501,5,"모스키노 아이 러브러브 오드뚜왈렛, 30ml, 1개",2024.03.18,쿠팡(주),추억의향기,향기에도 추억이 있는것같아요...아이엄마가되 향수는 꿈도못꾸고 늘 부스스한 모습으로 애기만보는요즘향수좋아하던 예전의 내가 생각나 하나사봤는데 향을맏는순간 ...하... 옛날 철없던 나잘난시절이 생각나며ㅋㅋㅋ 추억에 빠저듭니다ㅋ오랜만에 향수하나로 기분이 좋아지네요 내일은 모스키노 뿌리고 울애기랑 데이트가렵니다~~~옛날 추억하게 해준 모스키노아이러브러브에게 고맙네요~^^상큼달달 기분까지 업됩니다~~~~,아주만족해요
202257257,v딸바보v,46492732,5,"모스키노 아이 러브러브 오드뚜왈렛, 30ml, 1개",2021.08.29,쿠팡(주),모양이 새모양이라 그런지 향이 아주그냥,와이프가 쓰는 향숩니다아이 러브 러브아주 자기애가 강한 문굽니다모양이 새 모향이라 그런지 향이 멀리 날라갑니다ㅋㅋ생각보다 향이 쎄게느껴지는데 생각보다 잔향이 오래가지 않는것 같아요처음에는 강한데 조금 지나면 생각보다 강하지않고 향이 괜찮네요향은 바다에서 시원하고 청량한 칵테일 마시는 그런 느낌의 향입니다ㅋㅋㅋ암튼 좋다는.. 맘에 든다는 이야기에요뿌렸을때 코아프다했다 혼났거든요,아주 만족해요
167994522,장*민,64029706,5,"모스키노 아이 러브러브 오드뚜왈렛, 30ml, 1개",2021.05.23,후리지아,N/A,선물용이라 아직 못뜯었어요 잘받았어요++ 남친 선물로 줬는데 가볍고 산뜻하고 상큼 달달한 향이에요개인적으로 너무 맘에 드네요ㅠㅠ보통 남자향수에서 나는 차량 방향제같은 무겁고 메스꺼운 냄새를 싫어하는데 그런 냄새랑 반대의 느낌이라 너무 좋아용++ 아 이거 여자 향수였구나 어쩐지근데 향은 남자거다 여자거다 구별되는 향은 아니에요 그저 향기로움 ㅎㅎㅎ주변에 이거 쓰는 남자가 한명더 있어서 남자거라고 생각했었어요 ㅋㅋㅋ,N/A
593388947,박*아,53268260,5,"모스키노 아이 러브러브 오드뚜왈렛, 30ml, 1개",2024.04.15,쿠팡(주),N/A,향기 정말좋음 ㅋ너무 달콤한향 보단  살짝 시원한향을 선호하는편인데 달콤시원 두가지가 다  있는향임 ㅋ봄여름에 어울리는향수임  너무좋음,N/A
296979543,김*주,113892776,5,"모스키노 아이 러브러브 오드뚜왈렛, 30ml, 1개",2022.04.09,쿠팡(주),모스키노 못잃어~,고등학교 때 쓰다가 이 향을 잊지못해서 20대중반이 된 지금 다시 한 번 구매해보았습니다ㅎㅎ 향이 마치 과일을 다 때려넣은 느낌이에요 뿌리면 하루종일 기분 좋습니다 ㅎㅎ 사계절내내 어울리는 향이에요 지속력도 은은하고 오래가는 편이에요. 저는 다 쓰면 용량 더 큰 걸로 구매할 예정입니다. 모스키노 못잃어~~~,아주 만족해요
