review_uid,username_2,user_uid,rating,product_name,review_date,seller_name,review_title,review_content,survey_answer
231612895,이*아,117599506,5,"에르게니아 업세스 머스크 퍼퓸 니치 향수 오 드 퍼퓸, 50ml, 1개",2021.11.17,쿠팡(주),여자들이 더 좋아하는 남자향수!,"업세스머스크로 향수를 바꾸고 요즘은 여자친구가 먼저 향이 너무 좋다며 칭찬을 해주더라구요!여자가 좋아하는 남자향수라고 듣긴했는데, 느낌부터가 매우 좋았고 향이 확실히 좋아 자신감은 물론 이미지를 살리기 좋아 외출 전 항상 사용하고 있습니다.첫 인상부터 굉장히 마음에 들었는데요, 유니크한 스타일의 패키지가 눈길을 사로잡더라구요.향수 선물할 때 흔한 명품향수 보다는 흔하지 않는 니치향수를 잘 알아보고 선물해주는것도 좋을것같네요.용량은 50ml이며 한속에 딱 들어오는 크기로 휴대성도 좋은 것을 확인할 수 있는데요, 항상 가방속에 들고 다니면서 유용하게 사용을 하고 있습니다.날이 쌀쌀해지니 업세스머스크의 부드러운 머스크향과 살짝은 쌉쌀한 유칼립투스 향 같은게 들어가서 더 매력으로 다가오는거 같아요.저는 나가기 전 가장 먼저 외투에 살짝 뿌려주고 씻고 외출준비 끝난 뒤 외투입을때 나는 향이 좋더라구요~전체적으로 은은하게 퍼져나가요.저는 만족합니다!",아주 만족해요
234910881,박*흥,18577926,5,"에르게니아 업세스 머스크 퍼퓸 니치 향수 오 드 퍼퓸, 50ml, 1개",2021.11.25,쿠팡(주),데일리향수로 잘 쓰고 있어요,첫향은 상큼한 레몬?과 같은 느낌으로 뿌리자마사 활력돋게 만들어주는데 나중에는 우드향과 은은하게 느껴지는 머스크향이 너무 포근하게 느껴지네요케이스도 완전 취향저격! 향도 취향저격! 주변반응도 굿!앞으로 꾸준하게 사용할수 있는 향수 만난것 같아 너무 기분이 좋고!당연히 재구매 꾸준히 하게 될것 같네요!가격도 부담없이 매일 데일리향수로 잘 쓰고 있어요~,아주 만족해요
231674540,박*화,129219275,5,"에르게니아 업세스 머스크 퍼퓸 니치 향수 오 드 퍼퓸, 50ml, 1개",2021.11.17,쿠팡(주),N/A,회사 동료가 쓰는 향수인데 향이 너무 좋아서 물어봤더니 에르게니아라고 하더라고요!? 남자친구에게도 이런 향이 느껴졌으면 좋겠다고 느껴서 선물하려고 좌표 알려달라고 해서 바로 구매했습니다.ㅋㅋㅋ 다른 명품향수보다 더 명품같고 독하지 않은면서 은은하게 느껴지는데 데이트중에 남친 품에 안겨서 자꾸 킁킁거리게 되네요 >.<히히 향은 처음에는 상큼한 시트러스 느낌인데 시간이 조금 지나면 머스크향이 은은하게 올라옵니다. 선물용으로 킹왕짱 추천해용!,아주 만족해요
231678713,쿠팡실구매자,-231678713,5,"에르게니아 업세스 머스크 퍼퓸 니치 향수 오 드 퍼퓸, 50ml, 1개",2021.11.17,쿠팡(주),N/A,향수 검색해서 보다가 케이스 디자인에 반해서 관심을 갖고 찾아보게 되었는데 블로그 사용자 평이 엄청 좋아서 믿고 구매해봤습니다. 디자인은 사진보다 실물 훨씬 고급스럽고 이뻐서 그냥 쇼핑백에만 넣어서 선물해도 좋을것 같다는 생각이 들었어요~ 향은 상큼한 느낌속에서 우드향과 머스크향이 느껴져서 포근하면서 상큼한? 그럼 느낌이 느껴집니다. 개인적으로는 향도 너무 만족스러워서 이번 구매는 성공적이네요 번창하세요,아주 만족해요
230362035,이*준,106488886,5,"에르게니아 업세스 머스크 퍼퓸 니치 향수 오 드 퍼퓸, 50ml, 1개",2021.11.14,쿠팡(주),N/A,어릴때부터 여러가지 향수를 사용해봤지만 지금것 사용한 향수중 만족도가 가장 높아요~ 첫향은 상큼하고 약간은 달달한? 느낌인데 한번도 맡아본적 없는 매력적인 느낌이고잔향에서는 은은하게 느껴지는게 마치 원래 저의 살냄새같이 자연스럽고 너무 좋네요~ 프랑스 원료라고 하더니 진짜 향이 고급스럽고 독하지 않으면서 매력 터지네요~지속력도 좋은편이라 오랫동안 사용하게 될것 같네요 이거 다쓰면 에르게니아 다른 향수들도 한번씩 써보고 싶은 궁금중이 생겼습니다. 저는 너무 만족하면서 데일리로 사용중입니다.,아주 만족해요
570111618,강*훈,23085102,5,"에르게니아 업세스 머스크 퍼퓸 니치 향수 오 드 퍼퓸, 50ml, 1개",2024.02.11,쿠팡(주),좋아요,한번써보니 향도좋고 그 잔향이 오래가서 좋아요그래서 재구매 했습니다,아주만족해요
453563543,음메똥파파,105070623,4,"에르게니아 업세스 머스크 퍼퓸 니치 향수 오 드 퍼퓸, 50ml, 1개",2023.05.14,쿠팡(주),그냥 그래요,가격 만큼이라고 보시면 될듯요향은 생각보다 금방 사라지네요광고는 5시간 정도로 본거같은데 겉옷벗고 유니폼 입었다가 2시간지나 겉옷 입는데 향이 없는거 같이 향을 느낄수가 없었네요(다른거 사용할때보다 2회 더 분사했는데~~)돈주고 산거 버리기는 그래서 막 써야겠어요,적당히 만족해요
171684086,진영부대장,110031903,4,"에르게니아 업세스 머스크 퍼퓸 니치 향수 오 드 퍼퓸, 50ml, 1개",2021.06.05,주식회사 성일건강,N/A,리뷰도보고  인터넷검색도 다해보고 일단 구매했습니다 30대 중 후반 이상부터  사용해야 할꺼같습니다 정장에  맞는향이라고  해야하나...향은  오래가구요 메론?바닐라? 이런향은 절때 아닙니다 살짝 시큼한향? 20대는  절때  추천안합니다~너무 많이 뿌리면  엄청  역할꺼같습니다  아주소량만 추천~,적당히 만족해요
318059617,구*헌,1245682,4,"에르게니아 업세스 머스크 퍼퓸 니치 향수 오 드 퍼퓸, 50ml, 1개",2022.06.01,쿠팡(주),"바를땐 조금은 강하나 잔향은 좋은 향수, 남자향 아님","향이 은은하다고 해서 구매했는데, 처음에 바를땐 조금은 톡 쏘는 자극적인 향이 있습니다. 시간이 지나면서의 잔향은 좋구요. 많은 평들이 은은하다고만 되어 있는데, 처음엔 그렇지 않은점 참고하세요. 남자 향은 아니니 괜찮습니다.",적당히 만족해요
355485189,김*보,101722130,5,"에르게니아 업세스 머스크 퍼퓸 니치 향수 오 드 퍼퓸, 50ml, 1개",2022.09.03,쿠팡(주),N/A,내가 왜 그동안 비싼 향수를 썼을까 고민하게 된 브랜드 한번 써보시면 아실겁니다 지속력은 더 긴듯 그리고 피부에 잘 안착하는듯 여자항수는 잘모르겠지만 남자들은 굳이 비싼 향수 쓸 필요 없을듯 합니다 ㅡ지금까지 조말론만 써온 유저,아주 만족해요
