review_uid,username_2,user_uid,rating,product_name,review_date,seller_name,review_title,review_content,survey_answer
590763460,이*환,67027565,5,"조마드 옴므 블루밍나잇 오드 퍼퓸, 50ml, 1개",2024.04.05,주식회사 에이베러,생각보다 젊은 향입니다~~~,생각보다 젊은 향입니다. 나이 든 사람들이 뿌렸을 때는 나이든 채취와 합해졌을 때 그리 좋은 향이 나는 게 아닙니다. 이거는 약간 30대 중반 까지만 가능할 것 같네요. 20대들한테는 정말 최고고요. 향이 오래가지는 않아요. 그치만 오래가지 않은 만큼 처음 뿌렸을 때도 은은하니 맡아줄 만합니다. 오래가는 것들은 사실 처음 뿌렸을 때 향이 너무 세서 정말 공기 중에 뿌려서 몸으로 맞아야 하는 그런 게 있죠. 제가 향수를 겁나 좋아하는데 아 참고로 저는 와이프입니다.!!신랑이 이 향수를 사고 나서 풀었는데 향수 냄새와 신랑이 뿌렸을 때의 손목 냄새가 정말 다르더라구요. 신랑은 50입니다. 나이를 먹어서 그 체취가 향수 냄새를 먹어버리는 느낌입니다. 젊은 분들이 사용하시는 걸 적극 추천 드려요. 나이 먹을수록 나이에 맞는 향수가 있는 것인지 아니면 개인의 냄새와 다르게 그런 느낌이 있는 것인지 궁금하지만 어쨌든 제 개인적인 생각으로는 향수도 나이대가 정말 중요한 것 같아요. 확실한 건 이 향수는 젊은 청년들이 사용하기에 진짜 맞는 그런 향입니다. 따로 뚜껑에다 뿌려서 냄새를 맡아봤는데 처음에는 너무 좋아서 냄새를 깊게 맡았다가 이거를 한 두 번만 뿌려서는 좀 약할 것 같다는 생각이 들었어요. 향수가 전체적으로 약간 약한 그런 느낌입니다.하지만 누가 젊은 사람들이 향수를 진하게 뿌리겠어요. 한 두번 찍 은은하게 나는 향이 정말 최고지요. 저희 신랑은 그래도 뿌리고 다니는 게 나이 든 사람들 몸에서 나는 냄새가 덜 나겠죠. 내돈 내산 리뷰가 도움이 되셨다면 도움이 돼요 부탁드려요♡♡♡,아주만족해요
550910050,전상엽,118177644,5,"조마드 옴므 블루밍나잇 오드 퍼퓸, 50ml, 1개",2023.12.24,주식회사 에이베러,N/A,개인적으로 향수를 정말 좋와하는데요.검색해 보신 분들도 계시겠지만 쿠팡에서 향수를 은근 많이 구입했네요~^^그럼 리뷰를 시작해 보겠습니다~‼️❎❎❎❎❎❎❎❎❎❎❎❎❎❎❎❎❎❎❎ 요즘 인스타 부터 광고에 많이 노출되어 많은 인기를 받는 조마드죠~!그래서 저역시 한번 구입을 했습니다~일단 저는 50ml 1병을 구입했습니다.포장도 깔끔하게 잘 왔구요~병색도~블랙이네요~^^ 향수를 좋와하다보니 자연스럽게 용어를 알게되는데.다른건 몰라도 이건 아셔야 나중에 향의 지속성이나 독한것 같다 라는 말을 안하실듯 해서 이것만 올려 드릴께요~✔️ 퍼퓸 (향의 지속시간! 6-7시간)✔️ 오 드 퍼퓸 (향의 지속시간 4-5시간)✔️ 오 드 뚜알렛 (향의 지속시간 2-3시간)✔️ 오드 코오롱 샤워코롱은 샤워하고 간단히 뿌리는 거라 생략 하겠습니다~  그럼 조마드는 뭘까요~?? 네!!맞습니다~오 드 퍼퓸이죠~^^지속시간은 4~5시간으로 생각하시면 되세요~ 음...뭐 향이 머스크 바닐라 레몬...어려우시죠.참...이 향수 리뷰쓸때가 가장 난감한것 같아요~넘 어려운 말들은 이해가 안되고.그래서 저는 그런 용어없이 한개의 향수와 비교를 해드리겠습니다.페라리 라이트랑 약간 비슷하다고 말씀드리겠습니다.저는 갠적으로 무거운것 보다 가벼운게 좋은데.조마드는 무거운 향수는 아닙니다~일명!!아저씨 스킨냄새는 때려 죽어도 아닙니다~^^;;(갠적으로 너무 싫어해서요) 저는 여자들이 좋와하는 향...이건 별 의미가 없습니다. 제가 좋와야죠~여자들이 좋와하는 향...저 문구는 빼도 되지않나 싶네요~하두 페로몬 향수가 너무 이미지 부각시켜서 파는 업체가 많아서...향이 괜찮은데.저 문구때문에 고민하시는 분들이 생기지 않을까 하네요.저 역시도 두병이 더 싼데 한병을 산 이유가 저 문구가 꼭 페로몬 향수를 광고하는 것 같아서이거든요..리뉴얼 되도 좋지 않을까 합니다~ 어디까지나 제 개인적인 것이며 차이는 다를수 있습니다. ❎향의 지속성이 일반 오 드 퍼퓸에 비해 금방 날라가네요~그렇다고 나뿐향수는 아니에요~^^;;❎그래서 저는 공병에 담아서 갖고 다니시면서 뿌리시면 되요~❎향은 정말 괜찮습니다.일단 그 멀미냄새!!결코 아닙니다.❎와이프가 저랑 반대에요~향수를 그리 좋와하지 않는데.냄새 괜찮다는 말을했습니다.❎저는 여성분이 뿌려도 될것 같네요.다시 말씀드리지만 저는 제가 좋으면 여자 향수도 구입해서 뿌립니다.❎두병이 걱정되신다면 저 처럼 한병 먼저 구입해서 꼭 한번 뿌려보시길 추천드려요.정말 괜찮습니다!제 리뷰가 도움 되셨으면~⬇️도움되었어요에~❤️부탁드려용~^^,아주 만족해요
558798722,미밍왕꾸,122571035,5,"조마드 옴므 블루밍나잇 오드 퍼퓸, 50ml, 1개",2024.01.12,주식회사 에이베러,남자향수 중에 굉장히 여성에 어필하는 향인듯 좋음,"○구매이유- 지인이 좋다고 추천해줘서 신랑 생일 선물로 구입○향은 어땠어?-탑노트 상큼한 레몬 -미들노트 바이올렛과 자스민-베이스노트 머스크와 앰버첫 향은 가벼운 레몬이 살짝 풍기는 상큼한 느낌입니다.달콤한 자스민이 어우려져 굉장히 호감의 향입니다잔향은 머스크와 앰버가 어우려져 무게감이 은은하게 남습니다○지속시간은 어때?*부향률: 향수에 향수 원액이 포함되어있는 비율인데이 부향률에 따라 향의 지속시간이 길어집니다.오드코롱 2~5% <오드뚜왈렛5~10% 3시간   <오드퍼퓸10~20% 7시간이 남자향수는 오드퍼퓸으로 7~8시간 향이 유지됩니다.○향수 원재료 오일은 좋은거야?-전세계 향료의 70% 이상을 생산하는 영화 ‘향수’의 배경지 그라스(프랑스)에서 직접 공수한 프리미엄 향료로 JOMAD 를 만든다고 합니다. 당연히 좋긋쥬?○추천이유-남자 향수지만 여자들이 좋아하는 향입니다.-부향률이 높은 오드 퍼퓸 제품이라 아침에 뿌리면 저녁까지 은은합니다.-남편, 남동생, 애인 향수로 좋은 향입니다.----------------------------------------------------------------------------------------------저도 솔직한 후기에 도움받아쿠팡에서 물건을 구입합니다.제 리뷰도 여러분에게 도움이 되길 바랍니다도움이 되신다면 도움이 도움이돼요 꾸욱 부탁드립니다.",아주 만족해요
493968488,호운이,380798,5,"조마드 옴므 블루밍나잇 오드 퍼퓸, 50ml, 1개",2023.08.14,주식회사 에이베러,여자들이 진.짜 좋아하는 호불호없이 은은한 매력향수!,"100% 실제 구매해서 약 한달정도 써보고 있는 실제 찐!후기입니다!!! 참고하셔서 처음 쓰는 분들이나 이미 향수 많이 쓰고있는 분들, 그리고 선물하시는 분들 등 모두에게 도움이 되었으면 좋겠네용<구매한 이유>친구중에 다양한 브랜드, 명품 향수만 10년 넘께 쓰는 향수에 미친 친구인데 몇 통째 조마드 향수만 쓰고 있어서 저도 한번 구매해봤습니다일단 브랜드 향수만 쓰던 애가 추천해줘서 믿고 구매해봤어요 저는 향수를 거의 안쓰는 사람이거든요 여자들이면 무조건 안좋아할 수 없는 향이라면서 흔한 향이 아니라 정말 매력적인 향이라고 하더라고요반신반의 하면서 일단 구매해봤어요 급하게 필요하기도 하고 어떤 향을 사야할지 고민만 하다가 못사고 있었거든요<첫인상>실제로 보니 굉장히 고급스러웠어요 선물용으로도 정말 충분할만큼 고급스러운 디자인이에요 전체적으로 블랙생상이 시크하고 영롱해 보여서 첫인상은 너무 맘에들었어요 브랜드 향수와 견주어봐도 절대 밀리지 않을정도로 고급스러운 느낌을 확 받았습니다!<실제 사용하고 주위 반응>처음 딱 뿌려보자마자 오!? 하고 소리가 절로 나왔습니다 정말 누가 맡아도 흔하지 않고 은은하며 매력적인 향이라는게 이걸 말하는구나 싶더라니까요~? 그래서 아! 일단 쇼핑 성공했다 라고 생각했어요 ㅋㅋㅋ 분사력?도 이정도면 좋은 편이라고 하더라구요 그리고 실제로 향수를 뿌리며 출근도 하고 데이트도 하고 친구들도 만나는데 진심 뿌린날 다 알아봐요 향수 뿌렸냐며 향이 되게 좋다고 무슨 향수냐고 만나는 사람마다 다 물어보네요 ㅎㅎㅎ 그런데 이게 그냥 물어보는게 아니라 진짜 향이 좋다면서 어디 브랜드냐고 많이 물어보더라고요 사람이 달라보인다면서 기분이 너무 좋더라고요 ㅎㅎ <향, 지속력 설명>향 설명을 잘하진 못하지만 주위이야기와 제가 느낀 향을 말하자면, 여자들이 진짜 좋아하는 향이다, 안기고 싶은 향이다, 매력적인 향이다 라는 호감가는 이야기를 정말 많이 들었고 사람이 다르게 보인다고 하더라구요어디서 많이 맡아본 향은 아닌데 은은하게 끌리는 향이에요 제 생각에는 데이트때 무조건 이 향수 뿌리면 80%는 일단 성공하고 들어간다고 생각해요 ㅎㅎ 저는 데일리로 뿌리고 다니는데 데일리 향수로도 정말 좋은거 같아요!아침에 일찍 출근하는 편이라서 7시에 뿌리고 나오는데 퇴근할때까지도 향이 유지되는거 같아요 가끔씩 오후에 한번씩 뿌리기도 하는데 이정도 지속력이면 완전 만족합니다!<정리!>향수 매니아 분들도, 처음 쓰는 분들도 모두에게 90%이상 만족할만한 향수가 아닐까 싶어요 특히 여자분들이 정말 좋아하는 향은 진심 맞는거 같아요제 직업 특성상 주위에 여성분들이 많아서 실제로 몸소 느꼈어요 ㅎㅎ 사실 저는 불만족스러운 부분이 하나도 없는거 같아요 브랜드 명품 향수 10년 넘게 쓰는 친구도 인정한 향수에요 ㅎㅎ 호불호없이 무조건 성공하는 향수입니다 강추드려요!",아주 만족해요
593104697,신데엘라,12127482,5,"조마드 옴므 블루밍나잇 오드 퍼퓸, 50ml, 1개",2024.04.14,주식회사 에이베러,지인선물,이거에 대한 상품평은 이미 써버려서다시 등록합니다 ㅎㅎ지인 친한언니의 형부한테 생일에 뭐사줄까?물어봤더니 또 이향수를 사달래요 ㅎㅎ역시..향수를 거부하던 내신랑도일하는데서 이걸맞아보곤 뭔지 물어봤데요그래서 나한테 이거사달라고..웬일? ㅋ 저는 향수를 좋아하지만달달한 향수를. 진하지않게 사용하기에신랑도 괜찮다곤해요이향수도 마찬가지로 쎄지않고 은은한향이 오래 지속되어 저도 써보고 싶을정도정말 잔향이 오래가요형부도 맘에 들었는지 이향수만 쓴다더라고요선물하는 저도 기분좋고..진짜 향이 미쳤어요 한번이라도써보길 강추하는 제품~^^,아주만족해요
307136243,절륜감자,119222447,3,"조마드 블루밍 나잇 옴므 오 드 퍼퓸 2p, 50ml, 2개",2022.05.04,쿠팡(주),"사우나 다녀온 중년 아저씨에게서 나는, 향기! 입니다.","⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️️⏹ 구매이유  기존에 사용하던 향수가 몽블랑이었습니다. 삼개월정도 사용한듯 싶은데 똑 떨어져 새로 향수를 구매해야 했지요. 제가 사용하던 몽블랑 향수는 품절이 되어 어쩔수 없이 다른 향수제품을 찾아 봐야 했습니다. 오드 뚜왈렛은 개인적으로 좋아하지 않습니다. 최소 오드 퍼퓸급 이상의 향수여만 했지요. 해외직구 상품을 제외하고는 마음에 쏙 드는게 없어 쿠팡 A.I 지니가 추천한 조마드 블루밍 나잇 옴므 오 드 퍼퓸 2p, 50ml, 2개를 발견했지요, 전체적인 상품평이 좋아 한번 구매해 보았습니다. 5월3일에 구매해 다음날 로켓와우로 배송받았습니다. ️⏹ 제품소개 ✔️ 상품명 / 조마드 블루밍 나잇 옴므 오 드 퍼퓸✔️ 품목 / 남성전용 향수✔️ 제품 주요 사양 / 모든 피부용✔️ 용량(중량) / 50 ml × 2개✔️ 타입 / 스프레이 타입✔️ 농도: / 오드퍼퓸✔️ 제조국 / 대한민국✔️ 화장품제조업자 및 화장품책임판매업자 / (주)이노코스 / 주식회사티아이코퍼레이션 ✔️ 소비자상담관련 전화번호 / 쿠팡고객센터 1577-7011️⏹ 사용평  개인적으로 은은하면서 향기의 지속성이 좋은 향수를 좋아합니다. 이전에 사용한 향수가 그런 편이었지요. 특히나 남성향수에 많은 특유의 스파이시한 향은 제가 아주 싫어 합니다. 아쿠아 향이라 일컬어지는 것도 마찬가지지요. 여성향수에 가까운 꽃향기에 남성적인 소박한 우드향이 어울리는 그런 향을 좋아합니다.  조마드 블루밍 나잇 옴므 오 드 퍼퓸은 스파이시한 향은 없어 마음에 들었습니다만, 첫 느낌은 ""아! 사우나 다녀왔구나."" 였습니다. 정말 중년의 남성들이 사우나에 다녀온뒤 풍기는 그런 향이라고 하면 이해가 되실련지 모르겠습니다만. 정말 Top 향은 그랬습니다. 강한 알콜향에 코끝을 강하게 자극하는 인위적인 향이라고 할까요?  그나마 미들향 부터는 어느정도 제가 좋아하는 타입의 향이 남아 그나마 다행이이었습니다. 알콜향이 날아가면서 베이스에 꽃향이 적당히 남는게 엔드향까지 이어져 조금은 안심이 되더군요. 계속 조마드 블루밍 나잇 옴므 오 드 퍼퓸을 사용하려면 적어도 미리 향을 뿌리고 일정시간이 지난뒤에 나가야 할 듯 싶습니다. 바로 사용하고 출근길 엘리베이터나 대중교통을 이용하게 될시, 원하지 않는 사람들의 시선을 꿀 수 있을듯 싶습니다.  ""아~ 아저씨 타셨구나..""하는... 제가 5학년 중반의 남성이라 이 시선의 느낌을 아주 잘알고 있습니다. 적어도 비즈니스 관련 일을 하시는 분들은 가급적 좀더 비싼 제품을 살펴보시길 바라겠습니다. 아니면 적어도 향수를 뿌리고 30분 정도는 경과한뒤 출타하시는게 조금은 나을듯 싶네요.  향의 지속성은 솔직히 잘 모르겠습니다. 워낙 Top향이 강해 냄새에 둔감해지는 느낌이더군요. 딸아이에게 물어보니 무슨 향이 계속 나는것 같기는데 한데, 그 향이 아주 자연스러운 호감을 느끼게 하는 향은 아니라고 합니다. 딸아이의 표현에 의하면 어설프게 고급진 탈취제를 뿌리고난 뒤 나는 냄새 같다고 하네요. ㅡ.ㅜ  ️⏹ 총평  홍보에 나와 있는 설명과는 조금 거리가 있습니다. 적어도 제품을 판매하는 분들이 소비자의 호기심을 끌기 위해 어느정도 전략적인 과장이 필요하긴 합니다만, 이번에 저는 다시한번 결심하게 되었지요. 절대 향수 만큼은 모르는 제품은 사용하지 않겠노라고. 특히나 매장에서 직접 맡아 보고 고르는 제품이 아닌, 온라인 상의 홍보성 글만 보고 제품을 낙점하면 이번처럼 낭패를 당하는 일이 생기는 모양입니다. 이건 지극히 제 개인적인 의견입니다. 사람의 취향은 각자가 다르니까요,  오로지 이 상품평은 제 취향에 근거해 작성한 것이니 참조만 하시길 바라겠습니다. 조마드 블루밍 나잇 옴므 오 드 퍼퓸 2p, 50ml, 2개 가격대비 가성비는 나쁘지 않은것 같습니다만 솔직히 100 ml 기준으로 오드퍼퓸급 향수는 왠만한 브랜드들은 다 10만원이 넘어갑니다. 7만원대 중반 가격으로 선택할 수 있는 제품으로는 무난한 제품이라 여겨집니다. 도움이 되었기를 바랍니다. ※ 색을 만드는 조약기술을 예로 들자면 색을 만들때처럼 향수도 적절한 배합과 레시피를 통해 향이 튀거나 도드라지는게 아니라 자연스럽고 부드럽게 색이 번지듯 향이 올라오는걸 가장 중요한 기술로 친다고 합니다. 제가 사용하던 제품들이 아주 고가의 고급향수는 아니었지만 어느정도 이런 기준에 충실한 제품들이었지요. 그런데 조마드 블루밍 나잇 옴므 오 드 퍼퓸은 쨍하는 맛만 강하지 깊이와 부드러운 맛에는 미치지 못하는듯 싶습니다. 정말 사우나 다녀온 아저씨는 되고 싶지 않습니다. ㅡ.ㅜ⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️",적당히 만족해요
506457231,수입남,23486510,1,"조마드 옴므 블루밍나잇 오드 퍼퓸, 50ml, 1개",2023.09.11,주식회사 에이베러,향수는 역시 전통있는 향수를 구매해야 실패가 없다.,"■리뷰에 앞서■향수 사용 경험만 20년 이상 되는거 같습니다.그 동안의 대 다수 알만한 브랜드 향수를 거의 사용해 왔으며, 현재도 그렇습니다.그 이유는 간단합니다. 1가지 향수를 만들기까지 과정 그리고, 오랜기간 경험과 아이텐티티가 필요하기 때문입니다.그래서 오랜 전통을 가진 향수만을 사용해 왔습니다.예전에는 특정 브랜드 향수만 구매가 가능했지만 현재는 새로운 향수 브랜드가 만들어지고, 또 어느샌가 사라집니다.이로 인해 소비자들은 즐거운 고민과 함께 스트레스를 받게 되는거 같습니다.어떤 향수를 써야할지, 매 번 인터넷을 검색하고, sns를 검색하고 이로 인해 오히려 피로감이 더 생기는거 같습니다.향수는 다양한 이유, 다양한 장소, 다양한 연령, 성별, 옷차림등으로 좋아하는 향수가 다릅니다.누가하나 같을 수가 없습니다.그렇기 때문에 고민과 고민을 하고, 머릿속으로 상상합니다.리뷰가 도움이 되기도 하지만, 때로는 리뷰가 선택의 제한을 하기로 합니다. 거짓 리뷰, 홍보 리뷰 등등그래서 참고만 하시라고 말씀드리고 싶습니다. 그냥 다양한 향수를 경험해보고 본인에게 맡는 향수를 찾는 겁니다.단순히 시향으로는 판단할 수 없습니다.가끔 다른 제품을 써보고 싶은 마음에 그 동안의 브랜드에서 탈피 색 다른 경험을 해보고 싶어 구매했습니다.조마드 향수를 구매했습니다.이 향수가 어떤지 한 번 제대로 보도록 하겠습니다.정말 솔직한 호평과 혹평을 하는 구매자입니다. ■제품■▶주문일자 : 2023-09-07-판매자로켓배송▶수령일자 : 2023-09-08-오후 ▶유통기한 : 2026년 08월 13일▶제품명 : 조마드 옴므 블루미이나잇 남성 오드 퍼퓸 향수 ▶용량 : 50ml▶종류 : 오드퍼퓸■향■탑, 미들, 베이스로 향을 표현하는데, 이런 원론적인 얘기는 넘어가겠습니다.처음 향을 뿌리고 나서..뭐지..라는 생각을 했습니다.그냥 웃었습니다.뭔가 독특한 향인데, 고유의 색상과 상상을 할 수 있는 그런 향이 아닌.. 그냥... 별로라는 첫 느낌이 들었습니다.이건 그냥 마케팅의 승리라고 생각합니다.아무리 좋은 점을 생각하려고 해도, 좋은 점이 떠오르지 않아 한 참을 고민해도...없습니다.역시..이래서 오랜전통과 역사를 가진 브랜드 제품을 사용하는 이유가 괜히 있는게 아니구나 하는 생각을 다시 하게 되었습니다.그냥 독특한 향입니다. 그런데 그 독특한 향 마저 좋다는 느낌을 받지 못했고, 오드퍼퓸은 잔 향이 오래가는 편인데. 지속력이 왜 이렇게 약한지...마케팅의 승리라는 생각이 드네요. 여자들이 호감하는 92%비율의 향수라...저희 사무실 여직원이 40명이 넘습니다. 제가 느끼기에는 별도라는 생각이 들어도 여직원들이 느끼기에는 다를 수 있으니까 한 번 대 놓고 물어보자.40명 전체 직원들을 만날 수는 없어.. 지나다가가 만나는 여직원 10명 정도에게 물어봤습니다.1명도 아무 향도 안 나는데요. 또는 그냥 그런데요. 예전에 뿌렸던 향수가 훨씬 기억에 남는거 같다는 반응이 나왔습니다.향수를 구매예정이신 분들은 가격은 비싸지 않더라도 충분히 좋은 향을 가진 제품들이 많습니다.얘기하면, 할 말이 너무 많고, 전문적인 얘기들도 있지만, 제 손가락이 아프고, 더 이상 리뷰를 쓰는게 무 의미하다라는 생각에 마칩니다.기존에 쓰던 제품 중에서 다시 골라서 구매해야겠습니다.▼▼▼▼ 제품 선택에 조금이나마 도움이 되셨다면 ▼▼▼▼▼▼▼▼ [도움이 돼요] 클릭 한 번 부탁드립니다 ▼▼▼▼",만족스럽지 않아요
519787264,손*주,45759888,5,"조마드 옴므 블루밍나잇 오드 퍼퓸, 50ml, 1개",2023.10.13,주식회사 에이베러,N/A,"* 제품명 : 조마드 블루밍 나잇 옴므 오 드 퍼퓸* 주문일자 : 23. 10. 12.* 배송일자 : 23. 10. 13.* 유통기한 : 26. 8. 13.* 용량 : 50ml* 종류 : 오드퍼퓸요즘 너큐브에 광고가 엄청 나온다며... 신랑이 한번 사용해보고싶다고해서 구매했어요.시크한 블랙컬러와 하얀색으로만 되어있는 깔끔한 디자인이 마음에 드네요.상큼한 레몬 톱노트, 바이올렛과 자스민의 달콤한 미들노트, 머스크와 앰버 베이스 노트가 어우러져 마음을 포근하게 다독여주는 느낌이에요.싸구려 향처럼 막 독하게 나는것도 아니고 은은하고 고급스런 향이라 신랑도 너무 좋다고하네요.여자들이 왜 좋아하는 향인지 느낄수가 있더라구요. 분사력도 아주 좋아요.펌핑을 하자마자 미세한 향수 입자들이 힘있게 공중으로 흩어져요.은은하지만 오 드 퍼퓸등급의 향수로 지속력도 좋아서 아침에 뿌리고 나가면 저녁까지도 향이 지속된다고하네요.사계절 모두 사용하기 좋은 향수이고, 가격 또한 부담스럽지 않아 데일리에 마구마구 뿌리기에도 좋아요. 향이 너무 좋다며 신랑이 매일매일 뿌리고 다닙니다. ㅎㅎㅎ",아주 만족해요
203517959,스타벅스11,124278179,1,"조마드 옴므 블루밍나잇 오드 퍼퓸, 50ml, 1개",2021.09.02,주식회사 티아이코퍼레이션,재구매하고 싶은 향수,본사정품이라고해서 믿고 주문했습니다~~별 6개 드리고 싶은데 6개가 없어서 1개 드립니다진짜 향이 너무 좋아서 대만족하면서 사용하고 있습니다여름때 너무 더워서 향수 주문했는데 그떄는 리뷰 안남기다가 추가 주문하고 리뷰를 남깁니다 제가 냄새에 민감해서 향수 주문하는데 항상 어려움 많이 겪었는데 저처럼 냄새에 민감한 분들도 사용하는데 문제없을거 같아요 시원한 향이라 너무 좋았는데 계속 맡아보니까 사계절사용하는데전혀 문제없을거같아서 추가 주문했습니당 배송은 역시 쿠팡이라 그런지 엄청 빨리왔네요 ㅋㅋㅋ 진짜 로켓배송인줄 착각할 정도였어요 제가 쿠팡에서 주문하는기준이 상품평 많은거를 좀 많이 믿는편인데 상품평도 좋은글이 많아서 믿고 주문했습니다 다른분들도 믿고 사용하셨으면하는 좋은 마음에 리뷰남겨봤습니다더 사용해보고 추가로 댓글 더 달아드릴게요~~  항상 많이파세요~~별점은 요즘 이거 유행인거 다들아시죠??? 모르는 사람들은 아재입니다ㅎㅎㅎ 오늘도 요거 쓰고 데이트하러 가야겠네요 많이파세용,아주 만족해요
393499406,0아침사과0,31179779,5,"조마드 블루밍 나잇 옴므 오 드 퍼퓸 2p, 50ml, 2개",2022.12.15,쿠팡(주),향수~,요즘 유튜브에 이 광고가 왜케 많이 나오는지신랑이 유튜브를 진짜 많이 보는데이 광고 보라며..ㅋㅋ웃기다고이렇게 좋은거냐고ㅋㅋ써보고 싶다 해서 구매하게 되었어요ㅎㅎ저도 향기 나는 남자 좋져ㅎㅎㅎㅋㅋㅋ너무 광고가 심해서 반신반으로 구매하긴했어요근데 검색해보니 1개보다 2개 값이 더 저렴해서걍 두개 구매했네요포장상태는 매우 만족입니다뽁뽁이로 안전하게 배송 되었어요향은 좋긴 합니다^^지속력은 잘 모르겠어요~~~아직 사용전이라살짝만 뿌려봤습니다근데..광고처럼 그정도는..ㅋㅋ잘 모르겠네요^^신랑이 2통 사용해보고 좋다하면계속 주문해주긴 할거 같아요^^※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※이 상품평은 언제나 제 개인적인 생각으로 진솔하고 솔직하게 작성한 것입니다.각자 개인의 취향 또는 생각과 다를수 있다는점 양해 부탁드려요(#^.^#)                                        (참고해주세용(*＾▽＾*)솔직하게 작성한  저의 상품평이 많은분들께 도움이 되었음 좋겠습니다♡아하..ㅎㅎ＼(^-^)／제가 작성한 상품평이  도움이 되셨다면 밑에 ***도움돼요***를 꾸~~~욱 눌러 주심 감사하겠습니다(*^-゜)vThanks!항상 건강하시고 오늘도 좋은 하루 되세요~♡,적당히 만족해요
