review_uid,username_2,user_uid,rating,product_name,review_date,seller_name,review_title,review_content,survey_answer
593699743,와이미,2652933,5,"존바바토스 아티산 블랙 EDT, 125ml, 1개",2024.04.16,쿠팡(주),은은하게 퍼지는 성숙한 향,20대때부터 사용해오던 남편의 향수입니다.40대가 된지금 갈색병에서 블랙병으로 바꾸었더라구요용기색상이 리뉴얼된것인가 했는데향 자체가 아예 다르군요블랙은 뭔가 더 찐하고 확퍼지는 느낌입니다그러면서 차분하게 은은~해요뭔가 성숙한 중년남성의 향이랄까 ㅋㅋ갈색은 20대 30대 초반까지 좋을것같고 30대 후반 남성분들께는 블랙이 더 잘 어울리지 않을까 싶네요지속력도 아침에 2-3번 뿌려주면 하루종일 은은하게 퍼집니다악 향수냄새 뭐야 정도는 아니고 음~ 어디서 향수냄새가 나지? 할정도 생각보다 3번뿌려도 많이 강하거나 쎈느낌은 아니예요배송도 빠르게 꼼꼼하게 왔고 포장용으로도 찌그러졌다하시는분들있는데전 정상적으로 잘왔네요선물용으로도 추천할께요~,아주만족해요
390182595,정*선,22655358,1,"존바바토스 아티산 블랙 EDT, 75ml, 1개",2022.12.06,쿠팡(주),N/A,"선물할 생각이면 냉큼 나가시길!~ ㅠㅠ1. 상품밤11시가 넘어서 도착했어요!!프레시 상품인줄~~~연말에 지연은 될수 있다치고!!~우와! 박스 고대~~로 배송비닐에 담겨서 왔어요.연말이고, 선물할곳이 많아서 샘플로 1개 사봤는데...이건 뭐, 박스가 사방으로 안 찌그러진 곳이 없이 민망하네요!절대 선물못할 몰골로 배송됩니다ㅜㅜ마침 벤츠맨 사용하던 신랑이 한번 써보겠다고찌그러져도 괜찮다고~ㅠㅠ남편 주기에도 미안하네요!!파손없는것이 신기할 따름입니다ㅋㅋ2. 향향/냄새에 아주 민감한 울남편이 괜찮다고 하네요.향이 안좋은 향수는 아닌것 같아요ㅋ첨에는 강한것 같다고 하더니 은은하게 오래갈것 같아서 좋대요!벤츠맨을 오랫동안 썼던 사람인데바꿔볼때가 됐는지 새로운 향에, 한방에 만족합니다~^^3. 양향이 맘에 안들까 싶어서 적은걸로 구매했는데작다고 느껴지지 않습니다.다른 향수에 비해 케이스가 크게 나온건지딱!! 적당히, 이정도면 제법 오래 쓰겠어요.매일 사용하면 큰걸로 해야겠지만작은 사이즈 딱 좋아요!!4. 가격포장에 맘상하는 바람에 가격상관없이 여기꺼는 비추!!올리*영에 보니 같은 가격으로 팔더라구요!!선물하려면, 같은 가격이라면 여기는 아닌걸로~그렇게치면 이 상품은 쿠팡할인이 붙진 않은거네요!걍 가격은 so so하나 기분나빠서 추천은 못하겠음요!!~^^;;설마~하고 주문해보지 말고,본인 쓰실려면 주문OK!선물 하실려면 Go away!!평을 다보시면 꾹!~눌러주심 감사~^ㅡ^",적당히 만족해요
525675685,주*호,103279287,5,"존바바토스 아티산 블랙 EDT, 125ml, 1개",2023.10.26,쿠팡(주),N/A,올영세일할때 신랑사주려고 했는데 올영세일할때만 왜 올영을 못지나가는지 신랑이 몇년째 존바바토스사용하고있어요 이거말고 기본 존바바토스 갈색 쓰다가 이번에 블랙써보고싶다 그래서 구매했어요인터넷에서 구매하면 너무 가짜가 많다고 하더라구요그래서 왠만하면 향수는 올영이나 백화점에서 구매해서 사용하는데 이번에 쿠팡에 세일한다고 뜨더라구요쿠팡에서 정품인증한다고 배너도 떠있더라구요그래도 혹시나하고 쿠팡고객센터에 전화까지해봤네요정품인증한다는 말듣고 구매했어요✔향향은 올영에서 맡은향이랑 똑같아요우드한향????✔향 지속력신랑이 아침에 뿌리고 나가면 들어올때도 향수냄새가 나요 옷 하루입고 세탁하지않자나요 담날에 옷정리하다보면 향수냄새 폴폴나요 그런거보면 지속력 좋네요겉에 라탄제질은 블랙 살짝 까짐이 있네요뭐 선물할꺼도 아니고 뽑기운이 나빴다고하고 잘쓰고있어요✔향수제품은 배송되고 하루정도 제자리 둔 다음 사용하시면 본래의 향이 난다고 해요배송도중 흔들리고 그래서 좀 둔 다음 사용하시면 된다고 합니다❗ 저도 리뷰를 최대한 읽어보고 구매하는 쿠팡러입니다 제 리뷰가 도움이 되셨다면 도움 꾹 눌러주세요,아주 만족해요
537615315,크리퍼,15044924,4,"존바바토스 아티산 블랙 EDT, 75ml, 1개",2023.11.22,쿠팡(주),존바바토스 아티산블랙 써본 개인적인 후기,신랑이 사용하던 향수용량이 얼마남지 않아서 구매했어요 용기가 고급지고 남성들이좋아하는 향이라 픽해서 구매를 하게 되었어요❤️ 배송상품이 도착했다는 알림을 받고 개봉해보니 박스가 살짝 찌그러져 있었는데 박스를 던져서찌그러진건지 다른물품에 의해 찌그러 진건지는몰라도 향수케이스가 하단이 약간의 구김이 있었어요❤️ 용기는 75ml로 가격대비해서 만족했구요존바바토스 아티산 블랙으로 고급져서 선물용으로도 좋아요❤️ 시향 사람마다 호불호가 갈린다는 말에 공감했어요남자스킨향이 강해서 처음엔 거부감이 들었는데 발향이 은은해 괜찮아지더라구요 신랑은 거부감없이 출근전 뿌리고 가요❤️ 지속성 오래발향이 지속되지는 않은것 같아요 퇴근후에 향수향이거의 안나는것 처럼 은은해져서 그런것 일수도 있고요첫향은 강한게 느껴지거든요 ><,적당히 만족해요
543229539,박*용,118830213,1,"존바바토스 아티산 블랙 EDT, 125ml, 1개",2023.12.06,쿠팡(주),그냥 사용하기에 괜찮은 제품이나 품질관리가 매우 필요함,우선 광고상으로는 로켓 배송이라고 하는데 로켓 배송 아닙니다.수령하는데 3일 걸렸구요.더불어 수령후 포장 상태가 별로 좋지 않습니다. 제품 포장이 좀 많이 닳아있었습니다.그리고 제품 표면에 있는 그물망 형태가 플라스틱 직조물 형태로 압착되어 있는데 이게 포장지와 마찬가지로 제대로 마감이 되지 않아 날카롭습니다.Burr  같은게 있어서 플라스틱 가시 조각에 의해 손가락에 찔리고 파고 들고 하더군요.해서 저는 이 플라스틱 직조물을 통째로 벗겨냈습니다. (사진 참조)계속 사용하면서 찔릴 순 없으니깐요.덕분에 최초 charging량을 확인할수 있어서 좋은 것 같습니다.  다른 주문자분들 확인하시기에는 좋을 것 같네요.전체 상품평은 100점 중 15점 정도입니다.예전에 존바바토스의 표면에는 실로 직조되었던 것 같은데 저 타입은 품질 관리가 되지 않는다면 사용자가 매우 불편할 수 있을 것으로 판단됩니다.판매자 및 구매자 분들도 이 부분 잘 판단하셔서 구매하시길 추천 드립니다.마지막으로 제품 판매시 쿠팡측도 재고 관리 잘하셔서 판매해주시고 로켓 배송이란 문구는 삭제 해주시길 바랍니다.그럼 수고하세요.,만족스럽지 않아요
564497158,품질평가장,112729084,5,"존바바토스 아티산 블랙 EDT, 75ml, 1개",2024.01.27,쿠팡(주),적당한 지속력,사실상 디자인이 먼저 눈에 들어왔으며 갈색 존바바는 써봤지만 검정 존바바는 써보지 못했습니다후기들에 보니 다양한 향냄새를 표현해 주셨더라고요제가 느낀 향의 냄새는 이러했습니다첫 향은 거의 안나다가 5~10초 뒤 처음 맡아보는 흔치않은 스킨향수냄새였으며 후로 손목에 냄새를 맡아보니 멘소래담과 레몬이 섞인 특이한 냄새가 났습니다분명한건 정말 독특하고 신기한 냄새입니다저는 이런류 향수들을 주로 사용타보니 낯설지는 않지만 굉장히 신비적인 향이 난다고 느꼈습니다,아주 만족해요
582725880,오*성,37237595,4,"존바바토스 아티산 블랙 EDT, 125ml, 1개",2024.03.15,쿠팡(주),N/A,"향이라는 것은 너무 개인적이라서 어떻게 적어야 객관적인 글이 될까 싶지만결국엔 제가 느끼는 것을 적으니 .. 그럴 순 없겠어요 ㅋ✅초기현재 배송을 받고 바로 사용해서인지알콜에서 느끼는 코를 찌르는 느낌이 10중 7정도 있으면서어..? 내가 싫어하던 냄세인데?? 라는 느낌의 우드한듯 새큼한듯한 향이 납니다.✅한시간경과알콜향이 사라지는게 약 한시간정도..?이후 전혀 코끗을 찌르는 뾰족한 향은 날아가고 묵직해지면서 너무 좋습니다.✅5시간 경과지속적으로 향이 잊을만하면 맡아집니다.꽤 친숙하기도, 30대 후반이 써도 분위기가 묵직한을 원하는 분들이라면좋은 선택일 것 같다는 생각이 듭니다.영업하는 사람이라면 고객을 만나기전 바로 뿌리는게 아니라만나기 전 미리 뿌리고 만나시는 것을 추천하겠다는 생각이 듭니다.지속력이 상당히 좋아서 만족하고첫향이 스킨향이지만 좀 날카로운 면이 없지 않아 ""어?"" 하였지만기다리면 철없는 30대가 조금 묵직한 30대로 변하는 향이랄까요.✅포장뽁뽁이 없이 택배상자에 배송온 향수는 처음입니다;;ㅎㅎ향수를 향수박스에서 꺼냈는데 뚜껑이 여기저기 색이 벗겨진 곳이 있네요뭐.. 향수 진열할 것은 아니라서 그냥 쿨하게 넘어갑니다.✅가격5만원 안되는데 125ml라 훌륭하다 생각합니다.뭐 명품 향수들의 경우 굉장히 비싸지만 향이 좋잖아요?그런데 솔직히 그정도로 명품향수 따지고 사는 편은 아니라서제가 하는 일과 만나는 분들의 연령대를 고려하여 향을 선택하기에5만원대 가격이면 충분히 갓성비다 생각이 드네요 ㅎ도움이 되셨다면 좋겠네요..ㅎ",보통이에요
510956528,최혜진,3134160,5,"존바바토스 아티산 블랙 EDT, 125ml, 1개",2023.09.21,쿠팡(주),N/A,"️✅구입 가격: 41,960 (할인금액)✅구입 시기: 2023.9월⭐️제품 가격변동이 자주 있는편이라, 구입당시 금액 공유해요!⭐️구입하실 분들은 현재 가격과 비교후 현명한 구매하시길 바래요✔️✔️남편 향수로 샀어요~",적당히 만족해요
306224252,blackpinkk,107948282,5,"존바바토스 아티산 블랙 EDT, 125ml, 1개",2022.05.02,쿠팡(주),아주 만족 합니다. 굿굿굿,올리브 영에서는 이 제품은 세일을 안하더리구요.금액을 할인해줘서 너무 고마웠어요.향도 지속력이 오래가는거 같구요.몇일 더 사용 해봐야 알겠지만 . 출근할때 뿌리고 왔는데..향이 은은하게 유지되는거 같아요.적극 추천드립니다.,아주 만족해요
383162171,박현민,19112424,5,"존바바토스 아티산 블랙 EDT, 125ml, 1개",2022.11.18,쿠팡(주),N/A,일단 제 향수는 다 존바바토스입니다 .아티산 아티산블루 빈티지 아티산 퓨어 등다만 존 바바토스를 살까 말까 고민을 하는 이유는 처음 시향햇을때 햠은 정말 좋습니다 .그러나 그 향의 지속력은 정말 쓰레기 입니다 평균 한시간 이상을 가지를 않습니다 .그런다고 코를 대고 킁킁 거려야 향이 날까 말까 정도라다른 쪽으로 넘어 가볼려다가 안써본 블랙의 평이 괜찬아서 그 평도 자두 사기가 많다보니 미심쩍엇는데혹시 모르니 스킨 향이 그렇게 심한 향이 아니라 해서한번 주문 햇는데 받자 마자 느낀 점은 아 ~~씨 또누가 쳐 뿌려 보고 반품 햇구나 이 느낌...쿠팡 사용자라면 다 아실듯한 ..그러나 향이 그렇게 까지 독하지 않아서너무 좋지는 않지만 그나마 괜찬네 하고 뿌리고외출을 하는데 희한 한건 밖에서도 향이 은은 하게나구요 다음날 옷걸이에 잇는 오투에서도 향이 은은 하게 나네요 .ㅎ이번엔 제대로 향의 지속력은 짱이네요 .,적당히 만족해요
