review_uid,username_2,user_uid,rating,product_name,review_date,seller_name,review_title,review_content,survey_answer
596356254,코코시,124318195,5,"피오라 여성용 러브포이즌 페로몬 향수, 50ml, 1개",2024.04.24,쿠팡(주),첫 페르몬 향수 대 성공적 !!,"☑️ 제품명 : 피오라 여성용 러브포이즌 페로몬 향수, 50ml, 1개☑️ 배송 방법 : 로켓배송 (다음 날 바로 도착)☑️ 제품 특징 : 1998년에 출시된 러브포이즌 포우먼은 프레쉬아쿠아 계열의 은은하면서 달콤한 향수이며, 용량은 50ml, 페르몬 성분은 에스트라테트라에놀☑️ 구매이유 : 평소 쓰던 향수에서 안 써 본 다른 향수로 갈아타보려고 하던 와중 직접 오프라인에서 시향하고 구매하는 것이 아닌 온라인에서 후기만 믿고 구매해야하는 상황이어서 더욱 더 신중히 향수를 택해야 했었습니다.그런 와중 페르몬 향수가 눈에 띄었고 궁금증 호기심반에 찾아 보게되었습니다.그런데 왠걸 후기 하나하나 빠짐없이 다 읽어보는데 너무 좋은 평이고 상품 소개도 구매를 할 수 밖에 없는 .. 아무튼 그런 무언가에 이끌려 구매를 하게되었습니다! ☑️ 제품소개 및 장점 :차원이다른 페로몬향수의 시작, 피오라향수 유혹의 기술, 피오라향수 단순한 페로몬향수가 아닙니다. 23년 이상의 유혹의 기술이 담긴 고농축 휴먼페로몬성분을 함유한 명품 페로몬향수브랜드입니다.신선한 프레쉬아쿠아 계열의 탑노트와 플로럴 부케의 향취가 어우러진 섬세한 미들노트, 은은한 머스크과 부드러운 엠버 등으로 이국적이면서 신비스러움이 베이스노트에 더해져 세련된 여성스러움과 부드러운 신비로움을 간직하고 싶은 날, 유혹적인 페로몬이 베이스노트가 되어 관능적이고 사랑스러운 여성으로 연출이 가능합니다.☑️ 이런 분들에게 추천합니다 & 내돈내산’ 리얼 사용 후기 :페르몬 향수가 처음인데 처음 맡자마자 아~ 이런게 페르몬 향수이구나 하고 딱 이해가 바로 되었습니다.처음 뿌렸을 때 꽤나 달달한 과일 향 ?! 프레쉬한 느낌을 풍깁니다. 잔향은 거부감 없이 괜찮은 편이며, 데일리로 가볍게 뿌릴 수 있는 데일리 향수로 딱입니다!!무엇보다 고급지게 작은 샘플도 3개씩이나 챙겨주셔서 여러 향을 미리 체험해볼 수 있는 기회도 있어요ㅠㅠ 너무 감사합니다 :)개인적인 사견을 더 해 샘플을 소개하자면네츄럴 골드(노란색)가 좀 지적인 느낌, 약간 고급스런 느낌.러브포이즌 (분홍색)은 러블리함이 묻어나는 느낌.핫필링(보라색)은 매우 시원한 여름에 잘 어울릴 듯하면서 동시에 달달한 느낌도 섞여있는 향.로망스(주황색)는 비누향과 플로럴향 느낌입니다.온라인으로 향수 구매하는거 쉽지 않은데 이번 첫 온라인 페르몬 향수 구매 대 성공입니다…!마침 지금 후기 쓰려고 보니깐 품절이네요…!일찍 쟁여놓기 잘 한 듯…!다만, 저는 페르몬보증서?!가 동봉되어 오지 않아서 아쉽습니당 ㅠㅠ※ 해당 후기가 도움이 되신 분들은 아래에[ 도움이돼요 ] 눌러주시면 대단히 감사하겠습니다.오늘도 즐겁고 알찬 온라인 쇼핑되시기 바랍니다.행복하세요 :)",아주만족해요
585738564,쇼핑의단짝,111791611,5,"피오라 여성용 러브포이즌 페로몬 향수, 50ml, 1개",2024.03.23,쿠팡(주),궁금해서 구매해봤어요,"1. 향수 좋아하는 1인입니다. 디올, 샤넬, 겐조, 랑방, 딥디크 등 왠만한브랜드는 다써본거 같아요. 개인적 의견이지만 향수 많이 사용하는 사람으로써 후기 남겨요.2. 가격대는 백화점 브랜드 향수 가격에 비해 많이 저렴해요.50ml  쿠팡에서 할인 할때는 3만원 후반대까지내려가요. 다른 브랜드는 10만원 넘는게 다반사인데가격면에서 이득이예요.3. 상자개봉하면 페르몬보증서가 들어있어요. 홍보성 문구겠거니했는데 보증서가 들어있으니 더 신뢰가 가네요.4. 향수에서 중요한 지속력~ 오 드 퍼퓸 중에서도 지속력 짧은게 많은거 이거는 처음에는 강하게 느껴지다가 점점 은은하게 향이 나면서오래가요. 생 로랑 향수랑 비슷한거 같다가도 미스 디올 향 같기도하고 우리에게 익숙한 달달한 향이예요.5. 분사력 좋고, 처음 사용해보는데 만족스러워요.6. 뚜껑은 개선이 조금 필요한듯요~~ 거꾸로들면 뚜껑이그냥 뚝하고 떨어져요. 밀폐를 위해서도 개선을 했으면..7. 향수 뿌리는거 좋아하는 분들이라면 구매 추천해요.다른 향 샘플도 들어있으니 사용해보세요. ^^",아주만족해요
552598412,이*희,111771635,5,"피오라 여성용 러브포이즌 페로몬 향수, 50ml, 1개",2023.12.28,피오라향수 공식몰,진하고 그윽한 향으로 호기심을 남기는 향수,"- 향 후기 : 향 잘 모르는 사람으로서 쉽게 설명 하자면, 처음은 새콤상큼한 향이 나고/ 중반 부터는 꽃향기가/ 끝에는 뭉글한 머스크향으로 남아요.- 잔향 후기 : 잔향은 처음에 적당히 뿌리면 비누향 같은데, 처음부터 많이 뿌리면 너무 향이 진하게 남아서 오이향처럼 느껴질 수 있어요..!- 사용 후기 : 향수 뿌리고 회사에 갔는데, 서류 스캔하러 지나다니면서 동료들이 좋은 향 난다고 말 걸었어요ㅎㅎ 늘 왔다갔다 지나가던 길이라서, 솔직히 말거실 줄은 생각도 못했는데ㅋㅋㅋ 잔향이 생각보다 진하게 남아서 그런지 다른 사람들 한테도 좋은 향으로 느껴진다는게 기분 좋았어요!- 팁 : 본격적으로 뿌리기 전에, 잔향의 정도를 본인의 몸에 테스트 해보는 것을 추천드려요! 본인한테 잔향이 그윽하게 남도록, 적당한 양으로 조절해서 뿌리는 것이 중요해요!구매 후기- 다른 향들도 궁금했는데 여러 향을 충분히 시향하고 뿌려볼 수 있도록 여러 샘들도 함께 배송되어와서 매우 만족했어요! (판매자님 남는게 있으신가요..?)- 남자친구한테도 선물하고싶어졌는데, 남성향수는 샘플을 못 받아봐서 아쉬울 따름이에요! 온라인 구매 전용이다보니 이건 어쩔 수 없죠..ㅠㅠ- 향을 가늠할 수 없어 구매가 망설여져요..! 5ml 샘플로 주는 것이 남는게 없으시다면, 향수가 묻어있는 종이를 샘플로 넣어주신다던가 하는.. 뭔가 다른 방식으로 판매 향수의 여러 향을 시향해볼 기회가 있었으면 좋겠다 싶었어요..!- 이래나 저래나 향을 맡아보면, 재구매 할 사람은 사지 말라해도 구매할 것 같은 향수인것 같아요ㅎㅎ",적당히 만족해요
593414295,윤*빈,119814693,5,피오라 러브포이즌 페로몬향수 여자향수 오드퍼퓸 50ml 3개,2024.04.15,피오라향수 공식몰,D사에서 갈아탔어요. 진짜사랑스러운향,"향수 무지 좋아하는 사람입니다 .왠만한 명품 브랜드는 다써본거 같아요. 집에도 아직있구요달달하면서도 매력적인 여성향을 좋아하는 사람입니다개인적 의견이지만 향수 많이 사용하는 사람으 로써 후기 남겨요.가격대가 진짜 착해요 세 개에 십 만원도 안하는데다른 백화점 향수들은 하나에 십 만원에 이상하고하나 샀다가 다 쓰고 이번에 3개 구매 했습니다지속력~ 점점 은은하게 향이 나면서 나름오래가요. 많이뿌려도 과하지않아요.굿굿 아주 분사력 좋고, 처음 사용해보는데 만족스러워요.나만알고 싶지만 향수 뿌리는거 좋아하는 분들이라면 구매 추천해요.다른 향 샘플도 들어있으니 사용해보세요. ^^친구가 물어봤어요 너무 사랑스러운 향이라고 ㅋ 뿌듯",아주만족해요
581311036,감식초21,100118862,5,"피오라 여성용 러브포이즌 페로몬 향수, 50ml, 1개",2024.03.12,피오라향수 공식몰,#시원하면서 여성스러워 #향 진짜 좋아 #평생 쓰고파,"나는 향수를 참 좋아한다.향이 좋은 향수를아침에 뿌리고 나가면나 뿐만 아니라 주변 사람들도 기분이 좋아진다.나는 이 향수는 처음 사용해  본다.나는 이 향수에 애초에  큰 기대를 하지 않았는데,향이 의외로 참 좋았다.1.이 향수는 첫향이 시원하면서도후에 여성스런 향이 올라온다.2그리고 향기가 3~4시간 정도는 유지가 되는거 같다.나는 이 향수를 공병에 덜어서 가지고 다닌다.그래서 나는 점심 때쯤 한 번 더 향수를 뿌려준다.그러면 하루종일 향이 나서 기분이 좋다.3.이 향기를 맡아본 다른 사람들도 이 향을 좋아한다.나는  이 향수가 마음에 든다.그래서 나는 이 향수를 다 사용한 후 에도 계속 재구매를 하고 싶다.나는 다른 사람에게도 이 향수를 추천한다.###이상 내돈 내산 구매후기 입니다.제 리뷰가 구매에 도움이 되셨다면 도움돼요~를 부탁드립니다.오늘 좋은하루되세요.감사합니다 ❤️",아주만족해요
446767694,이*영,106519355,5,"피오라 여성용 러브포이즌 페로몬 향수, 50ml, 1개",2023.04.27,쿠팡(주),하루종일 항기로움 가득합니당,"♡♡피오라 러브포이즌 포우먼 항수 후기입니당♡♡40대 주부입니다!!절은시절엔 젊음 자체가 향기로 느껴져서 향수에 관심이 1도 없었답니다~결혼을 하고 아이를 낳고 가정주부로 살다보니....젊음의 향기가 어느덧 사라져버렸네요T.T나를 가꾸기 위한 첫번째!!나만의 향기를 만들자!!쿠팡에서 검색과 후기를 살펴보며 고민끝에 구매한 피오라 러브포이즌 포우먼 향수~~구매신청 후 하루만에 도착!!뽁뽁이로 안전하게 피오라 러브포이즌 향수가 도착했네요~화면 그대로 핑크빛이 도는 색감이에요!!향수를 꺼내는데 우앙 이게모양?? 샘플로 세가지 향을 더 보내주셨어요~~~보내주신 세가지의 향수를 꺼내는데 코끝에 감도는 이 향은???너~~~ 무 향이 궁금해서 모두 사용하고 싶었으나!!!그래두 제가 신청한 러브포이즌 향수부터 써야겠지요??그래서!! 외출준비 후 바로 피오라 러브포이즌 향수를 옷깃에 칙칙~~살짝 뿌려보았어용음~~~~~~~이향은 뭐랄까 샤워코롱처럼 연한것 같으면서도 상큼함과 달콤함이 코끝을 계속 감도네요!!외출하고 돌아왔음에도 향이 남아있어요~~놀라운건!!처음에 바로 느껴진 그 향과 오묘하게 다른 은은한 향이 계속 남아있는데, 요거요거 넘넘 좋아요!!앞으로 나의 향기를 책임져줄 향수는 요거!! 바로 피오라 러브포이즌 포우먼 항수♡재구매각입니당!!샘플로 보내주신 세가지 향 모두 궁금한데~~번갈아가며 사용해 봐야겠어요!!너~~~ 무 만족스럽네용❤️",아주 만족해요
422981876,정*윤,64523946,5,"피오라 여성용 러브포이즌 페로몬 향수, 50ml, 1개",2023.02.26,쿠팡(주),지속력 무엇인가요 ??  명품향수 안부러워요 ㅎㅎ,제가 늘 쓰던 향수가 있는데 다 떨어져서 다시 재구매하려고 쿠팡에 들어가서 그 향수 이름이쳤는데 이 향수가 뜨는거에요 ㅎㅎ그냥 호기심에 들어갔는데 리뷰가 장난이 아닌거에요 피오라 러브포이즌 페로몬향수 ~!! 예전에 폐로몬 향수 여러번 다양힌 종류로 사용해봤는데 향기도 별로고 효과도 없어서 다 버려버렸던 않좋은 기억이 있어서 반신반의했었어요 ㅎ물가가올라서 그런지 제가 평소쓰던 향수도 가격이 만오천이나 올랐고 이참에 갈아타볼까하고 주문하게되었어요 ~!!일단 도착했을때 폭폭이에 상자에 잘포장되어왔고 샘플도 3개나보내주시고 기분이 좋더라구요 ㅎㅎ 근데 처음뿌렸을땐 좀 당황했어요 이거 좀 독하다 이런느낌 ?? 그리고 어디서 맡아본 익숙한향기 그런데 알콜향이 날아가고 제몸에서 계속 좋은 향기기 폴폴나는거에요!! 깜놀 ㅋ잔향은시원하면서 약간 비누향비슷한  그런 향기가났고 아까 오전12시에 뿌렸는데 지금 밤 11시 아직도 제몸에서 향기가 난다는거 ㅎㅎ 지속력무엇인가요 ?? 미쳤어요 진짜 그리고 저희 신랑이 향에 민감해요 ㅜ.ㅜ제가 워낙 향수를 좋아해서 이향 수 저향수 기분따라 뿌리는데 그때마다 성질내면서 향수좀 그만뿌리라고 버럭했었는데 이향수마구 뿌리고 옆에서 알짱대도 암소리안하더라고요 ㅎㅋ 아직신혼인데 신랑이 무뚝뚝하고 저랑도 안놀아주고 게임하거나 맨날 휴대폰만 보는데 오늘은 이상하게 자꾸 제 옆에 누워 있을라하고 말도자꾸시키고 제가 좋아하는 맥주랑 치킨도 사들고들어오고 원래 제가 옆에가면 도망다니는 애거든요 ㅋㅋ향수때문인가?? 생각이 들더라고요 ㅎㅎ 일단 저희신랑이 승질 안낸다는건 향 좋다는 뜻입니다 신랑이까다로워서 호불호가 확실하거든요 이렇게 잔향이 강한데 순둥순둥 있는거보면 아 그리고 보내주신 샘플중에 디럭스인가 그것도 너무 좋아요 완전 내 스타일 그것도한개 장만하고싶네요 ^^,적당히 만족해요
366418788,전*혜,113317336,5,"피오라 여성용 러브포이즌 페로몬 향수, 50ml, 1개",2022.10.04,쿠팡(주),향지속력이좋아요,향수 안쓰는 사람이었습니다.향에 예민하기도 하고 이향이다싶은 향도없었어요.선물로 향수가들어오면 다.. 방향제행 그러다 우연히 겐조향이좋아 구매했는데 향이 너무금방사라지고..결국 디퓨져행..ㅎ결혼후 아이낳고 둘찌를 갖아볼까~ 이것저것 준비하다 향수도하나 사야지했는데 좋앗던 겐조는단종.. 멀로사지 쿠팡에 향수치고 리뷰순..ㅎㅎ그중 페로몬향수가 눈에 확~ 두찌계획중 이거다싶어 평도좋고 바로구매~ 향알못 이지만 처음엔 남자스킨?인가..잘못샀나..ㅠ일단 손목에 칙하고 부비부비처음 진한향이날라가면 계속 손목을 킁킁거리는 달달한향이납니다~ 이향수뿌리고 계속 손목 킁킁..ㅋㅋ이전향수들은 칠갑을해야 지속력이 있었다면이향수는 한번칙하고 하루종일 잔향을 킁킁거릴수있다는!! 남편도 향달달하고 좋다네요~ 자기도 달달한거하나 사달라고..서비스로 3종주신것중 남성용이 있어서 남편주고 괜찮다그럼 시켜주려구요! 지속력최강 단점손목을계속 킁킁거리며 냄새를..ㅎ 장점가성비.향지속력.굿굿6일사용후기!이거 물건입니다 진짜 향수안좋아하는 사람인데 평에낚여산제품들도많아요 이건 찐이에요!!밖에나가지 않아도 아침에 습관처럼 손목에 칙~ 친구들 선물로 사주려구요 달달한건 공유해야죠!~10월2일 구매~11월18일한달넘게 꾸준히 잘사용중이에요~♡아쉽게도 둘찌는아직안생겼지만ㅋㅋㅋ곧소식이오겠죠ㅠ..ㅎ향은 아직도 최애입니당ㅎ 가끔은 상큼한 수박?향같기도하고 전 현재까지 너무잘쓰고있고~ 너무좋아서 선물하려고 2개더샀어요!! 연말 친구만나면주려구요~!! 하나쯤 소장하면 좋은향 향수선물 안하는데왠지이건 같이맡아보고싶은향ㅎ,아주 만족해요
352746533,대치동사모,107910271,5,"피오라 여성용 러브포이즌 페로몬 향수, 50ml, 1개",2022.08.27,쿠팡(주),역시 왜리뷰의평이좋은지를알았어요,"이제아침저녁으로날씨도선선하고 서둘러가을을맞이하고픈마음에여름내내사용했던향수를바꿔써볼까하는마음에우선은 쿠팡에서뒤지기시작했더랍니다~~압도적으로 도매인하고있는 피오라향수 를보고  설마 쿠팡에서판매하는제품인데 정품을팔까~(?)하는불신  하는마음반을가지고~~ 제품을살피다가왜케리뷰가좋은거임~~(또의심)^^;;가격도  나름착하고해서 질렀죠~~로켓배송으로아침일~~~찍배송이되서설렘반기대반으로 개봉했는데포장도고급스럽고 판매자님의 정성스런손편지 에오너로써의정직함과신뢰와책임감이절절히묻어나더라구요~^^캡(투껑)여는방법까지 친절하게 메모해주시고......(최고)우선향을꼼꼼히체크한후  오늘외출할때입을옷에 먼저 뿌려두고샤워후닦을수건에도살~~짝뿌려놨어요~^^모닝커피한잔하고30여분이지난후 향을맡았는데우와대~~박(!!!!!가을맞이하는이계절에너~~~무딱인거있죠~^^왠지 지난무더윘던여름 에대해보상받는느낌이랄까~?^^;;욕실,거실,안방  에기분좋은향으로가득해서 가족들이뭔데이렇게기분좋은향이나냐며 서로한번씩뿌려본다고 난리였었어요~^^거기다가5ml향수3종까지챙겨주셔서 너무좋네요~아들딸(고2딸,사회초년생아들)에게한개씩 선물이라고생색내면서줬더니신났어요~^^5ml향수는다쓰고나면본품덜어 외출시가방에쏙넣고다녀도좋을것같구요~(요즘은미니백을많이들고다녀서)모처럼 새롭게바꾼항수로오늘 은이미행복충전만땅입니다~가족들이러브포이즌 도좋다고 욕실수건에뿌려놓아달랍니다~ㅋ좋은제품정성껏보내주셔서감사해요~잘쓸께요~^^♡혹시장바구니에담아놓고고민하시는분들계시면서드루세요~^^",아주 만족해요
208125766,이*경,28211366,5,"피오라 여성용 러브포이즌 페로몬 향수, 50ml, 1개",2021.09.16,쿠팡(주),"대박, 최고, 사랑입니다.","향수를 그닥 좋아하지는 않는 사람입니다.특히 너무 진한 항을 풍기는 사람들과 마주할때는   역겨울정도로 싫을때도 있습니다.어쩌다 이 제품이 눈에 들어오길래 리뷰도 좋고해서 구매했는데, 개봉하면서부터 반했어요. 기분좋게 이쁜 샘플 3가지와 정성이 묻어있더라고요~~   급한마음으로 샘플과 본품 전부 칙 칙 뿌려대며 향을 음미하는데, 그동안 리뷰에 속아 구매했던 제품들과는 다르게 이제품은 리뷰가 사실이라는걸 확인하는 순간이었습니다.그런데 이보다 더 놀라운것은.여기에 이런거 써도되나 모르겠네~~~~저녁에 샤워하고 새로산 이향수로 마무리~  잠자리에 들었습니다. 여느때와 마찬가지로 폰 만지작 거리며 한시간여 흘렀는데하. 그런데 갑자기 먼저 잠들었던 남편이 ... 수개월만에..세상에 어찌 이런일이 있는지 ...사실 우리 부부 서로 각자 바빠서 아침 저녁 식사시간 외에는 얼굴보기도 힘든  아니, 부부란걸 잊고 사는것 같았거든요~그야말로 가족. 그 이상도 이하도 아닌..?결국 이 향수 때문이다라고 단정지을수는 없겠지만,몇개월만에 남편다운 모습을 본 저로서는 딱히 다른 이유를 찾을수가 없네요.리뷰가 너무 엉뚱하게 흘러갔네요.일단 향수는 러브러브한 핑크빛이구요~향은 은은하게 내 몸을 감싸면서 퍼지는듯한 느낌입니다. 금방 사라지는것도 아니구요.10시에 샤워하고 썼는데, 지금이 3시17분 그향기 그대로 입니다. 아니 오히려 더 아름다운 향기를 뿜어낸다고 할까요?  무튼 향수 하면 코튼향 정도나 아는사람인데,  급 관심이 많아졌습니다. 무조건 사세요. 죽입니다. 이런리뷰는 안하고 싶어요. 그런 리뷰보고 제품구매해서 후회한적이 너무 많았거든요..ㅠㅠ사람마다 느낌은 다 다르니까요.향수 구매할 때가 되면 그때 한번 구매해서 사용해보시기를 추천합니다.개인적으로 저는 너무너무 만족합니다.모두 행복한 밤 되세요♡( 틈틈히 중간리뷰 할께요^^)",아주 만족해요
