company_name,product_name,days_diff,max_reviews_per_day,num_dates_higher_than_max,total_reviews_higher_than_max,high_volume_review_percentage,avg_ratings_higher_than_max,avg_ratings_lower_than_max
Hetras,"헤트라스 섬유향수 룸스프레이300ml x 2p 선물세트 화이트셔츠, 600ml, 1세트",785,8,25,289,19.27,4.77,4.63
끌로에,"끌로에 노마드 EDP, 30ml, 1개",2145,1,10,21,10.14,4.33,4.49
아프리모,"아프리모 더바디 남자 향수, 50ml, 1개",1733,1,9,18,15.25,4.67,4.48
록시땅,"록시땅 버베나 EDT, 100ml, 1개",1991,1,28,58,23.58,4.59,4.48
조말론,"조말론 블랙베리 앤 베이 코롱 + 쇼핑백, 1개, 30ml",2412,1,164,363,40.15,4.49,4.5
존바바토스,"존바바토스 아티산 블랙 EDT, 125ml, 1개",3118,2,119,406,28.25,4.65,4.59
그라펜,"그라펜 남성용 오베이션 오 드 퍼퓸, 50ml, 1개",1487,1,303,817,69.89,4.5,4.47
랑방,"랑방 루머2로즈 오 드 퍼퓸, 30ml, 1개",3240,1,302,693,46.2,4.48,4.34
피오라,"피오라 여성용 러브포이즌 페로몬 향수, 50ml, 1개",1432,2,178,683,45.53,4.9,4.86
LaRive,"라리브 카바나 맨 오 드 뚜왈렛, 90ml, 1개",3013,1,320,742,49.47,4.3,4.34
디아르망,"BJ엘린 추천 오리지널 옴므 페로몬 향수남성용 남자 페로몬 향수 70ml, 1개",1973,4,75,426,28.4,4.56,4.43
리베르,"리베르 섬유 향수 탈취제 드레스 퍼퓸 향수 사이 100ml, 1개",646,1,5,11,11.58,4.82,4.61
라임유,"라임유 CH24 플로럴 오 드 퍼퓸 50ml 니치 향수, 1개",1412,1,282,894,76.74,4.71,4.4
밀크바오밥,"밀크바오밥 바르는 고체향수 스칼렛 다마스크로즈 생장미향 솔리드 퍼퓸, 8g, 1개",793,2,33,115,32.76,4.43,4.5
불가리,"불가리 블루 옴므 오 드 뚜왈렛, 100ml, 1개",3239,1,288,671,44.73,4.34,4.28
912,"912 밤쉘 니치향수 EDP, 40ml, 1개",896,1,18,46,28.05,4.57,4.65
겐조,"로 겐조 뿌르 팜므 오 드 뚜왈렛, 50ml, 1개",3240,1,145,322,37.23,4.62,4.5
클린,"클린 퓨어솝 EDP 오 드 퍼퓸, 30ml, 1개",823,2,35,119,24.34,4.49,4.58
몽블랑,"몽블랑 엠블럼 EDT, 100ml, 1개",3066,1,343,792,52.8,4.65,4.64
레인필드,"레인필드 오 드 퍼퓸, 1개, 20ml",1264,1,28,61,30.81,4.36,4.2
메종마르지엘라,"모스키노 아이 러브러브 오드뚜왈렛, 30ml, 1개",3169,1,13,26,11.82,4.38,4.39
랄프로렌,"랄프 바이 랄프로렌 오데토일렛, 100ml, 1개",1365,2,39,128,18.21,4.67,4.74
딥디크,"딥티크 롬브르 단 로 EDT, 50ml, 1개",2375,1,8,19,14.62,4.95,4.71
러쉬,"러쉬 더티 솔리드 퍼퓸 고체 향수, 6g, 1개",1774,1,18,37,17.05,4.73,4.57
조마드,"조마드 옴므 블루밍나잇 오드 퍼퓸, 50ml, 1개",1244,8,54,790,52.67,4.69,4.01
아리아나그란데,"아리아나 그란데 클라우드 오드퍼퓸, 100ml, 1개",1557,2,78,266,25.65,4.76,4.71
디올,"크리스챤 디올 소바쥬 오드퍼퓸 100ML (남자향수1위) (쇼핑백증정) (무료배송) (당일배송), 1개",147,1,15,38,49.35,4.39,4.62
에르게니아,"에르게니아 업세스 머스크 퍼퓸 니치 향수 오 드 퍼퓸, 50ml, 1개",1422,1,20,44,19.56,4.64,4.56
