review_uid,product_name,product_price,product_type,username_1,username_2,rating,review_content,review_date
64348,,,,,박****,5,언제나 항상 아프리모 더비디를 사용하는 사람입니다 이제는 주변 사람들이 더바디의 향을 제 냄새라고 부르고 언제나 좋은 향이 난다고 항상 칭찬해주고 있습니다 혹시 향에 대한 걱정 때문에 구매를 망서리신다면 그럴 필요 없습니다 바로 구매하세요 절때 후회하지 않으실겁니다^^,2024.4.16
64344,,,,,탁****,5,벌써 몇년째 이용중이지만 실망한작이없는제품이네요~^^,2024.4.15
64322,,,,,태****,5,좋아요 아주 좋은 향수입니다.또 구매할께요,2024.4.13
64321,,,,,김****,5,처음써본게 엊그제 같은데 어느샌가 계속 구매하게 되네요 주변에서도 향이 괜찮다해서 그런점도 있고 핸드크림은 처음 사봤는데 역시나 실망하진 않네요,2024.4.13
64319,,,,,강****,5,은은한 남자 살 냄새가 오래 갔으면 좋겠습니다기존 오리지널.보다 지속력이 좀 아쉬운거 같습니다,2024.4.12
64311,,,,,전****,5,배송빠르고 좋아요향도 맘에드네요,2024.4.12
64303,,,,,이****,5,남자향수를 여러가지 써봤지만 마땅치않고 다 그저그랬는데 괜찮은 향수다 하는 후기 좋은 제품들 사보고 써보고 다해봤지만 아프리모도 후기만좋고 별거없겠지 하고 써봤는데 첫날 둘째날 계속 쓰다보니 중독되는 향수인거같아요 냄새가 여자향수냄새같은데? 하면서 첫향만셀뿐 잔잔하게 스며드는 뒷향이 너무 중독적인거같아요 이 향수쓰고나서부터 어디 향수냐고 물어보는 사람들이 많았어요 정말 매력적인 향 이라서 앞으로도 계속 재구매 할 예정입니다,2024.4.11
64291,,,,,김****,5,"""한 가한 주말에 편집샵 돌다가 좋은 향 맡을 때의 기분을 느끼게 해주는 향이다""제 여사친 입에서 이런 말이 나올 줄이야정말 처음에는 오그라들고 놀랐는데시간이 지나도 머리 속에 멤돌면서 은근 기분이 좋더라구요ㅎㅎ그 이후로 더바디를 뿌릴 때 마다 뭔가 편안하고 즐거운 기분이 들어서벌써 3병 째 사용하는 중이에요살짝 파우더리한 첫 향이 상당히 포근함을 주는데 또 잔잔히 깔리는 머스크향이 향에 풍부함을 줘서 질리지 않는 향이에요. 물론 직접 맡아 보는 걸 추천 드리긴 합니다.이 향수는 어떤 향이라고 글만으로 표현하기엔 한계가 있거든요..일상에 포인트를 가져다 주는 향수, 저는 이렇게 애칭을 붙여주고 싶네요ㅎㅎ",2024.4.9
64289,,,,,서****,5,항상 쓰느 제품입니다 여성꺼만 쓰다 너무 좋아서 남자꺼도 같이 사서 신랑이랑 같이 쓰는데핸드크림도 나왔네여 그래서 요것도 구매향이 좋네요 잘 쓸듯 합니다.,2024.4.9
64286,,,,,오****,5,반신반의로 고민하고 구매했는데 걱정한 시간이 아깝네요 과하지않고 세련되며 따뜻한? 안락한 냄새입니다 지속력체크해보고 이걸로 갈아타야겠네요 앞으로 아프리모와의 여정이 기대되네요ㅎ,2024.4.8
