review_uid,product_name,product_price,product_type,username_1,username_2,rating,review_content,review_date
2570224,,,키164cm,,ks****,5,툭 떨어지는 재질이라 날씬해보여요어깨 트임은 근데 잘 안보여서 좀 아쉬워용,
2570222,,,키163cm몸무게54~56kg,,nh****,5,디쟈인 예뻐요 근데 55사이즈 입는 저에게도 좀 크네요타이트하길 바랫는데 그게좀아쉽지만 핏이그런대로 괜차나요,
2570220,,,키168cm몸무게57~59kg,,ks****,5,보통 m 입는데 M-L 라서 그런지 애매하게 큽니다. 이런건 좀 붙어야 이쁜데 길이도 너무 길고 헐렁하네요.교환 귀찮아 그냥 입어요. 소재는 시원한 소재라 좋습니다.,
2570139,,,,,네이버 페이,5,네이버페이에서 작성된 후기입니다.너낌 예뻐용~~~ 몇번 못 입고 더워지게지만잘 입어 볼게용~,
2570116,,,,,네이버 페이,5,네이버페이에서 작성된 후기입니다.생각보다 커요 원단은괜찮아요,
2570050,,,색상블랙사이즈M-L,,yo****,5,너무너무 예쁘고 몸매라인을 잘잡아줘서 매우 만족이예요 ~ 다음에 회색으로 또 사고 싶어요,
2569977,,,키167cm몸무게54~56kg,,ka****,5,디자인이 예뻐서 구매를 했어요 M사이즈를 입는데 조금 크네요 그렇다고 XS를 구매를 하면 좀 몸에 붙을 꺼 같고 그래서 넉넉하지만 그냥 입을려고요 M사이즈 입지만 좀 날씬하면 XS사이즈 추천여~~,
2569965,,,색상블랙사이즈M-L,,ks****,5,리뷰미둠 사이즈 크네요스몰 했으면 어땠을까 해요큰데 그냥 입을려구요 ㅠ,
2569906,,,키162cm몸무게48~50kg,,dd****,5,생각보다 골지가 구김이(주름)  가서 옷매무새가 흩틀어질까 걱정했는데 옷형때가 지금 옷의 멋스러운  섹시함을 유지하네요,
2569874,,,키166cm몸무게60~62kg,,py****,5,전 77인데 큰사이즈가 다행이 맞네요 어깨트임이 과하지않아 보수적인 직장에도 입을수있겠어요 날씬한분들이 입으면 이쁘겠어요,
2569846,,,색상블랙사이즈XS-S,,ks****,5,예뻐요 기장감도 적당하게 좋아오ㅡㅎ 블랙이라 매치하기도 편해요! 어깨트임이 살짝 있어서 포인트로 주기 좋습니당,
2569831,,,키160cm몸무게48~50kg,,ks****,5,조금씩 디테일이 들어가있어서 심심하지 않을 디자인이고 제가 좋아하는 검은색이라서 모델같은 핏은 1도 나오지 않을 것이란걸 알고도 구입했어요 왜냐면 전 키가 작아서요(160) 제일 작은 사이즈 구입했는데 옷이 쫀쫀하기 보다는 여유가 있어서 라인이 조금 덜 사는 느낌입니다 골지 원피스는 좀 타이트하게 붙는 맛도 조금 있어야하는데 ㅜ 한여름엔 더울 수도 있겠지만 : 소재 특성상 / 지금부터 자켓이랑 부지런히 입고 좀 더 기온이 올라가면 단품으로 잘 입을 수 있을 것 같습키다,
2569730,,,색상블랙사이즈XS-S,,ks****,5,너무 편하고 예뻐요~지금부터 여름까지 자주입힐것같아요. 길이도 부담스럽지않고 소재도 시원톡톡합니다,
2569637,,,,,네이버 페이,5,네이버페이에서 작성된 후기입니다.스타일이 이뻐서 주문했어요편하게 입을수 잇을것 같아요,
2569384,,,키154cm몸무게69~71kg,,ks****,5,키가 작아서 조금 길어요옆트임이 있어서 예뻐요재질이 좋고 지금 날씨에 입기 딱 좋아요마음에들어요,
