review_uid,product_name,product_price,product_type,username_1,username_2,rating,review_content,review_date
21748,,,옵션더블 기획 10% OFF,,****용,5,맨날쓰는 제품~~ 너무너무 죠아요얼굴이 환해지는 느낌,
21734,,,,,****버 페이 구매자,5,에센스가 엄청 촉촉하게 가득 있음 ㅋㅋ(2024-03-06 14:31:51 에 등록된 네이버 페이 구매평),
21686,,,,,****버 페이 구매자,5,재구매한 거예요 촉촉해서 좋아요(2024-02-28 18:09:52 에 등록된 네이버 페이 구매평),
21675,,,피부 타입복합성연령대40대 이상피부 고민화이트닝,,****혜,5,열감과 홍조를 내리는데 많은 도움이 되고 있습니다.,
21639,,,,,****버 페이 구매자,5,정말 좋아요 재구매 예약(2024-02-17 22:29:25 에 등록된 네이버 페이 구매평),
21628,,,피부 타입복합성연령대30대피부 고민민감성,,****선,5,"아침에 세안후 샤워하는 동안 얼굴에 붙여놓았다가, 기초화장하면 광도 나고 제품이 잘발려서 좋아요..",
21617,,,피부 타입복합성연령대40대 이상피부 고민민감성,,****경,5,토너패드로 착각하여 구매했지만 오히려 잘 구매한거 같아요. 부분적으로 팩이 필요할때 유용하네요.성분도 좋은거 같고 패드 사용 후 화장하면 피부가 더 촉촉한 느낌이 들어서 좋은거 같아요.,
21524,,,옵션더블 기획 10% OFF,,****영,5,건조했던 얼굴이 물광 촉촉함 그자체가 되는거 같다.열심히 꾸준하게 써볼께요.,
21383,,,,,****버 페이 구매자,5,촉촉하게 잘쓰고 있습니다(2023-12-28 10:35:45 에 등록된 네이버 페이 구매평),
21352,,,피부 타입복합성연령대40대 이상피부 고민모공/피지,,****숙,5,제가 얼굴에 열이 많은 편인데 피부온도가 내려가고 요즘같은 겨울철에도 보습 확실해요!!,
21306,,,옵션더블 기획 10% OFF,,****용,5,항상쓰는 제품입니다.이거없음 안되요피부트러블도 안생기고 얼굴에서광이나네요,
21286,,,옵션단품,,****주,5,사용하기도 편리하고 수분이 꽉체워지는 느낌이네요 너무좋아요,
21216,,,피부 타입건성연령대40대 이상피부 고민화이트닝,,****경,5,"환절기에 더욱 건조해지는 피부에 응급처치(?)하기에 적합한 시트입니다. 냉장고에 넣었다고 붙이면 차가울 정도의 시원함이 있고, 시트 또한 적당히 얇아서 피부에 잘 밀착되는것 같습니다.",
21204,,,피부 타입복합성연령대40대 이상피부 고민민감성,,****영,5,트러블 민감성 피부에 칙칙한 피부로 고민하시는 모든분께 강력추천합니다. 제인생 화장품입니다~~~^^,
21188,,,,,****버 페이 구매자,5,촉촉하게 잘 쓰고 있습니다(2023-11-28 10:05:15 에 등록된 네이버 페이 구매평),
21133,,,,,****버 페이 구매자,5,아침에 샤워하고 머리말리는동안 사용하기 좋아요얼굴에 하고 손등에 올려서 사용하니 더좋아요붇이고 떼기 좋아서 더좋아요(2023-11-14 10:23:26 에 등록된 네이버 페이 구매평),
21051,,,,,****버 페이 구매자,5,소재가 좀 특이 하지만 만족합니다(2023-11-02 09:07:04 에 등록된 네이버 페이 구매평),
21044,,,,,****버 페이 구매자,5,가격 대비 만족합니다 ㅎ(2023-11-01 11:25:04 에 등록된 네이버 페이 구매평),
20955,,,피부 타입건성연령대40대 이상,,****경,5,처음에는 따가웠는데 세번째부터는 따가운게 없어지네요? 그래서 쓰고 잇는데 촉촉해요,
20917,,,,,****버 페이 구매자,5,편리하게 쓸수있어 좋아요(2023-10-13 09:30:59 에 등록된 네이버 페이 구매평),
14591,,,,,****35****,5,저녁에 팩하고 아침에 일어나면 너무 촉촉하고 화장도 잘먹고 굿입니다 신랑도 해보고나서 좋다고 많이 주문하라고 해서 주문하거예요~~  단종 안됐음 좋겠어요 ~~,
