review_uid,product_name,product_price,product_type,username_1,username_2,rating,review_content,review_date
262,,,,,****,5,랍셍스 제품을 지인에게 추천을 받아서 고민없이 바로 구매해봤는데 생각이상으로 향이 괜찮은거 같네요. 다른 향은 어떤지 모르겠으나 화이트블랑은 음.. 백화점 화장실 가면 고급진 방향제 냄새랄까? 값비싼 디퓨저? 그런 비슷한 향인거 같고 냄새도 생각보다 오래가네요. 막 독하다 찐하다 이런느낌보단 은은하다? 부드럽다? 이런 느낌이라 부담없이 사용할수 있을거 같습니다ㅎㅎ 앞으론 여기서 향수 구매해야겠네요. 다음엔 다른 향수도 구입할게요~~,
15542,,,,,네이버 페이 구****,4,"짐작해 본 향과 좀 다르지만, 그래도 맘에 듭니다.(2023-11-23 22:27:14 에 등록된 네이버 페이 구매평)",
284,,,,,이****,5,처음써보는데 너무좋아요 대만족입니다.,
567,,,,,lhsl******,5,형이 너무 좋네요~~계속 써봐야겠네요,
904,,,,,eomq******,5,정말 광고에서 들었던 말이 생각나네요 호텔 화장실에서 날 법한 냄새라길래 샀는데 정말 제가 생각했던 향이랑 같아요!,
15546,,,,,네이버 페이 구****,5,제가 좋아하는 향이에요비누향이 나는 만족합니다(2023-12-07 16:07:59 에 등록된 네이버 페이 구매평),
15472,,,,,네이버 페이 구****,4,처음으로 향수 도전해서 향이 강하지 않고 비누향같은 느낌을 원했는데 딱 좋아요 다른분의 리뷰처럼 호텔 bathroom향이 폴폴 납니다(2023-07-31 18:53:49 에 등록된 네이버 페이 구매평),
15464,,,제품 선택[1+1]화이트블랑(30ml)2개 (25%),,이****,5,배송 완전빠르고~~조아옹~~향도 쵝오^,
15460,,,,,네이버 페이 구****,5,냄새엄청좋아좋아좋아(2023-06-17 00:47:22 에 등록된 네이버 페이 구매평),
15448,,,,,네이버 페이 구****,5,향도 좋고 다 써서 구매함요(2023-05-02 13:30:58 에 등록된 네이버 페이 구매평),
15436,,,제품 선택[단품]화이트블랑(30ml)1개 (20%),,박****,5,"향 좋습니다, 와이프도 좋아하네요",
15432,,,,,네이버 페이 구****,5,냄새 너무 좋습니다.일단 저가든 고가든 향수라는게 살짝 자극적인게 있는데 이 향수는 그런거 없이 좋네요.(2023-03-23 00:30:26 에 등록된 네이버 페이 구매평),
195,,,,,Ckim****,5,"향이좋아요, 계속 쓰게됩니다.",
212,,,,,ajtw******,5,아주좋습니다 딱제가좋아하는향입미다,
217,,,,,전****,5,만족스러운 향 입니다.,
227,,,,,j020******,5,향이 너무좋네요 계속 쓸거같아요,
234,,,,,chu8******,5,잔향이 오래가서 좋아요,
243,,,,,chu8******,5,코튼향기가 지속되어 좋아요,
277,,,,,wooh******,5,항상이용합니다 좋아요,
456,,,,,dpaq******,5,배송빠르고 좋은제품이에요 만족합니다,
623,,,,,이****,5,가을처럼 선선한 분위기에 에 딱 어울리는 향인것 같습니다.마음에 꼭 듭니다.,
772,,,,,coun******,5,넘 취향저격이라 잘 뿌리고 있어요,
919,,,,,coun******,5,깔끔한 비누향같은뿌리고 나면 넘 기분이 좋아져요,
931,,,,,dpaq******,5,배송도 빠르고 좋은제품인것같네요 만족합니다,
941,,,,,gmlq******,5,설레이는 봄날씨같은,
950,,,,,양****,5,포근포근합니다 :)지속력도 좋아요!!,
