review_uid,product_name,product_price,product_type,username_1,username_2,rating,review_content,review_date
9359,,,,,민****,5,더후 에센스 어느 제품보다 영양성분이 풍부하게 들어있어얼굴이 맑고 밝은 톤이라 넘 좋아요^^,2024.3.28
9204,,,피부타입건성연령대40대 이상피부고민화이트닝피부색상(톤)웜톤피부색상(호수)21호,,유****,5,온라인구매하니 할인이 많이 되서 좋아요 요즘 피부가 당겨서  힘들었는데 전에 쓰던 자생 라인이 생각이 나서 얼른 구매 했어요,2024.2.25
9200,,,피부타입건성연령대40대 이상피부고민주름/영양피부색상(톤)웜톤피부색상(호수)19호,,이****,5,꾸준히 쓰는 제품이에요..저렴하게 구매했어요.,2024.2.18
8729,,,,,GSSHOP 구****,5,늘 쓰고 있는 제품입니다,2024.1.9
8770,,,,,네이버 브랜드스토어 구****,5,잘 받아서 잘 쓰고 있어요감사합니다.,2024.1.4
8616,,,,,신세계 구****,4,백화점 배송이라 그런지포장 배송 다 좋아요유통기한도 넉넉하고백화점 카드 5%+적립5% 가끔 더블적립 하는경우도 있지만 적립금은 모아서 금액 맞아야쓸 수 있는지라바쁠땐 그냥 여기서 주문하네요,2024.1.4
9058,,,,,네이버 브랜드스토어 구****,5,두병째 사용중입니다. 민주킴 에디션 디자인이 이뻐요. 이젠 다른거 못쓸듯...,2024.1.3
8631,,,,,신세계 구****,5,샘플 써보고 좋아서 샀어요 본품만 저렴하게 파는 것 많은데 그냥 백화점 몰에서 사는 게 믿을만 해서 여기서 구매했습니다 샘플 엄청나게 많이 줘서 깜짝 놀랐습니다 아직 쓰고 있는 제품이 있어서 써보지는 못했지만 그래도 이미 샘플 사용해보고 구매한 거라 만족할 거라고 기대합니다,2024.1.1
8769,,,,,네이버 브랜드스토어 구****,5,바르고 나면 촉촉함이 오래가고 사용감이 좋아 늘 사용하고 있어요.,2023.12.30
8768,,,,,네이버 브랜드스토어 구****,5,엄마랑 같이 바름. 너무 좋음.,2023.12.28
9057,,,,,네이버 브랜드스토어 구****,5,만족...........,2023.12.27
8767,,,,,네이버 브랜드스토어 구****,5,비첩은 머다? 쵝오다,2023.12.24
9033,,,,,네이버 브랜드스토어 구****,5,역시 후예요전에도 썼었지만 좋아요,2023.12.20
9189,,,,,네이버 브랜드스토어 구****,4,구성좋고가격좋고피부도좋아지길,2023.12.18
8766,,,,,네이버 브랜드스토어 구****,5,트러블이안나서좋아요,2023.12.17
8765,,,,,네이버 브랜드스토어 구****,5,이거 바르면 생기가 ㅎㄷㄷ,2023.12.17
8615,,,,,신세계 구****,5,속당김이 확실이 줄고 탄력감이 생겨요. 쿠폰할인과 사은품 혜택이 어마어마해서 만족스러운 구매였어요 ! 같은 제품이면 프로모션 구성도 알찰때 구입하면 더 좋은 거 같습니다,2023.12.13
9030,,,,,네이버 브랜드스토어 구****,5,발람성도 좋고 겨울에 쓰기 좋으네요~^^그리고 샘플도 이렇게 큰거 챙겨주셔서좋았어요~~^^,2023.12.12
9187,,,,,네이버 브랜드스토어 구****,4,에센스  사용감이  좋고  흡수력이 좋아요,2023.12.7
9056,,,,,네이버 브랜드스토어 구****,5,계속쓰는제품입니다 제피부에잘맞아요 가격좀내렷으면 하는 마음입니다,2023.12.6
8727,,,,,GSSHOP 구****,5,촉촉하고 좋아요 늘 쓰고 있어요,2023.12.6
8626,,,,,신세계 구****,5,백화점에서 사면 샘플을 너무 안줘서 ssg로 샀는데 샘플도 많이주고 맘에들어요,2023.12.4
9184,,,,,네이버 브랜드스토어 구****,5,엄마가 예전에 쓰시다가 이번에 다시 쓰시는데 여전히 좋네요,2023.12.3
8667,,,,,GSSHOP 구****,5,10년 이상 사용한 제품이라...말이 필요없어요~,2023.12.2
8629,,,,,신세계 구****,5,샘플 써보고 너무 좋아서 샀어요 온라인 검색하면 단품 더 저렴한 것도 많지만 백화점에서 사는 게 믿을만 할 거 같아서 더 주고 삽니다,2023.12.2
9181,,,,,네이버 브랜드스토어 구****,5,촉촉하고 쫀쫀한 타입.,2023.12.1
9179,,,,,네이버 브랜드스토어 구****,4,상품이 매우 좋습니다,2023.11.25
8633,,,,,신세계 구****,5,항상 대용량 나올때 구입했는데 이번에도 잘 구입했어요,2023.11.24
8666,,,,,GSSHOP 구****,4,평소써던제품인데 백화점보다구성이좋아구매해서 잘써고있어요 담에기회되면재구매할생각입니다,2023.11.22
8625,,,,,신세계 구****,5,가성비로도 제품으로도 빠지지않을 정도로 발림이 좋습니다.한번 써보세요. 무슨말인지 끄덕여집니다.,2023.11.21
9177,,,,,네이버 브랜드스토어 구****,5,60대초반 저희 엄마가 쓰고 계세요~ 여러 가지 바르는 걸 싫어하시는데 요 에센스랑 자윤 크림은 꾸준히 잘 바르고 계세요~,2023.11.20
8764,,,,,네이버 브랜드스토어 구****,5,빠른배송.바르고나면 피부흡수가  잘되고  쪽쪽하고 당김이 없어  좋은거  같아요,2023.11.20
8624,,,,,신세계 구****,5,매일 쓰는 에센스인데 쿠폰적용해서 잘 샀어요,2023.11.19
8665,,,,,GSSHOP 구****,5,10년째내피부를책임지고있는비첩계속쭉사용할겁니다.홈쇼핑에서계속팔아주세요,2023.11.16
9055,,,,,네이버 브랜드스토어 구****,4,겨울에 어떤 것을 발라도 금방 건조해지는 피부 때문에 기대하는 맘으로 쓰게 된 비첩 자생 에센스. 다른 것 바를 때보다 촉촉함이 오래 남아 있고 금방 흡수돼서 외출 전 바쁘게 화장할 때 참 좋아요.,2023.11.15
9027,,,,,네이버 브랜드스토어 구****,5,오래 전 부터 사용 중 입니다~ 저는 한 여름은 빼고 늘 사용합니다~~,2023.11.15
8763,,,,,네이버 브랜드스토어 구****,5,가격은비싸지만  내피부에잘맞아요,2023.11.15
9175,,,,,네이버 브랜드스토어 구****,5,내가 써보고 좋아서 선물했었는데 만족하고있다는 소리에 돈쓴거 뿌듯했네요,2023.11.14
8627,,,,,신세계 구****,4,포장을 배송 안 좋아요,2023.11.14
9024,,,,,네이버 브랜드스토어 구****,5,왜 좋다고 하는지 알겠어요  .. 그냥 막 열심히 발랐고 어느순간부터 만나는 사람들이 피부가 좋아졌다해요 그럼 끝아닌가?ㅎㅎㅎ,2023.11.11
8762,,,,,네이버 브랜드스토어 구****,5,화면 그대로 입니다,2023.11.9
8760,,,,,네이버 브랜드스토어 구****,5,가격은좀나가지만 비싼만큼좋아요,2023.11.8
9054,,,,,네이버 브랜드스토어 구****,5,향이 좋고 촉촉하네요.,2023.11.6
9052,,,,,네이버 브랜드스토어 구****,4,겨울철에 비첩 자생 에센스를 바르면 피부가 매끄러워지는 것 같아요. 특유의 쫀쫀한 질감이 건성 피부가 쓰면 좋을 것 같아요.,2023.11.6
9171,,,,,네이버 브랜드스토어 구****,5,좋아요좋아요좋아요좋아요,2023.11.5
9023,,,,,네이버 브랜드스토어 구****,5,생선으로 샀는데 너무 좋아요 또 구매항께요,2023.11.4
8664,,,,,GSSHOP 구****,5,대용량을 만나서 잘 쓰고 있어요~~사용할때마다 좋아요~~~,2023.11.2
8663,,,,,GSSHOP 구****,5,피부에 잘 맞아요~,2023.11.1
8759,,,,,네이버 브랜드스토어 구****,4,사용후 피부가 촉촉하고 매끄러워요50미리라 금방쓰게 되네요,2023.10.31
9169,,,,,네이버 브랜드스토어 구****,5,선물 받은 분이 아주 잘 쓰고 있답니다.,2023.10.30
9165,,,,,네이버 브랜드스토어 구****,5,아주 만족하며 사용하고 있습니다....,2023.10.30
9163,,,,,네이버 브랜드스토어 구****,5,에센스 써보고 너무 좋아서 가족들한테 다 선물했어요,2023.10.30
8662,,,,,GSSHOP 구****,5,항상쓰는제품 대용량이라 마음놓고써요,2023.10.29
9162,,,,,네이버 브랜드스토어 구****,4,상품이 매우 좋습니다,2023.10.26
9020,,,,,네이버 브랜드스토어 구****,5,잘 사용하고 있습니다만 다음번엔 다른 라인으로 한번 구입해봐야겠어요.,2023.10.26
8724,,,,,GSSHOP 구****,5,늘 쟁이고 쓰는 제품~,2023.10.26
9050,,,,,네이버 브랜드스토어 구****,5,가격대비 아주 만족합니다. 중국인 손님 선물로 드렸는데 아주 좋아해요,2023.10.25
9049,,,,,네이버 브랜드스토어 구****,5,첫구매입니다발림과 촉촉함이 좋아요,2023.10.25
9048,,,,,네이버 브랜드스토어 구****,5,매우만족합니다....,2023.10.25
8723,,,,,GSSHOP 구****,5,촉쪽해서 좋아요 핑크핑크 예뻐요,2023.10.25
8661,,,,,GSSHOP 구****,5,건조하고  당기는 가을에  쓰기 좋아요.  촉촉하고  순해서  항상 잘 쓰고 있는 제품입니다.,2023.10.25
8660,,,,,GSSHOP 구****,5,10년이상 사용하는 제품~ 그래서인지 50인데도동안이란 얘기를 많이 들어요~^^,2023.10.24
9160,,,,,네이버 브랜드스토어 구****,5,항상 쓰던 제품 인데 기획이 잘 나와 구매 했어요~좋아요ㅡ,2023.10.23
9047,,,,,네이버 브랜드스토어 구****,5,너무좋아요 좋아요좋아요,2023.10.23
9046,,,,,네이버 브랜드스토어 구****,4,대용량을 저렴하게 구매할 수 있는 이벤트 패키지라 망설임 없이 구입했는데 샘플이 어마어마 하네요. 선물 받는 느낌으로 잘 받았습니다. 아주 만족스럽습니다.,2023.10.20
9158,,,,,네이버 브랜드스토어 구****,5,엄마가 사용하시던 에센스 다 사용해가서 구매했어요~ 에디션으로 디자인도 예쁘고 무엇보다 용량이 커서 너무 좋네요,2023.10.19
9156,,,,,네이버 브랜드스토어 구****,5,할인도하고 사용해보고 싶어서 구매완전좋을거 같아요,2023.10.19
9154,,,,,네이버 브랜드스토어 구****,5,계속 사용하는 제품이에요.행사 혜택 있어서 알찬 구성으로 구매했어요.,2023.10.18
9150,,,,,네이버 브랜드스토어 구****,5,항상 쓰던 제품이라 이번에 대용량 저렴하게 구매했어요 좋아요,2023.10.17
9147,,,,,네이버 브랜드스토어 구****,5,기존에 쓰던 상품이라 이쁜 패키지로 나와서 주문 해보았습니다. 만족스럽습니다,2023.10.17
9045,,,,,네이버 브랜드스토어 구****,5,좋아요촉촉해서아주좋아요,2023.10.17
8721,,,,,GSSHOP 구****,5,리뉴얼된 비첩에센스!   쳐다만 봐도 기분이  좋아져요,2023.10.17
9144,,,,,네이버 브랜드스토어 구****,5,샘플써보고 바로 주문했어요 촉촉하고 다음날 피부가 부들부들합니다그리고 병이 너무 화사하니 바를때마다 기분이 좋아집니다,2023.10.16
9141,,,,,네이버 브랜드스토어 구****,5,피부 탄력 개선을 위해 구입했어요~ 잘 사용해보겠습니다!,2023.10.16
9137,,,,,네이버 브랜드스토어 구****,5,엄마가 요즘 좋은 화장품 써봐도 트러블이 자꾸 생겨서 후를 선물해드렸어요!뭘 이런걸 사냐고 하셨지만 좋아하시는게 보여서 기분 좋네요^^바를 때마다 기쁘게 바르셨으면 합니다~,2023.10.16
8720,,,,,GSSHOP 구****,5,비첩자생 에센스는 10년이상 꾸준히 사용하는 제품이에요. 가끔 선물 받은 다른 제품 사용하다가도 날 추워지면서 건조해지면 찾게 되는게 이거에요. 추석에 할인받아 싸게 구매했다고 좋아했는데 일주일 뒤에 가격다운되어 하나 더 구매했네요ㅎ 엘지 본사에서 보내는 제품이라 짝퉁 걱정은 안하셔도 될듯해요.,2023.10.16
9134,,,,,네이버 브랜드스토어 구****,5,엄마가 예전에 늘 썼다가 오랜만에 쓰시는데 좋다고 하시네요,2023.10.15
9129,,,,,네이버 브랜드스토어 구****,5,항상 사용하는건데 이번에 행사 해서 더 좋게 구매를 해 만족합니다 저희 엄마가 엄청 좋아하세요,2023.10.15
9126,,,,,네이버 브랜드스토어 구****,5,물타입의 에센스보다 쫀득한 타입을 좋아하는 엄마의 피부를 위해 구입. 흡수도 잘되고 발림도 부드러운데 분홍병이 이뿌다며 엄마가 좋아라 합니다.,2023.10.15
9121,,,,,네이버 브랜드스토어 구****,5,다시 돌아왔어요.지금 꼭 필요한 자생에센스.,2023.10.15
9118,,,,,네이버 브랜드스토어 구****,5,십여년째 쓰는 비첩자생 에센스저에게는 없어서는 안될 핫템입니다지금같은 계절에는 쫀쫀한 제형이 몹시 맘에 들어요그렇다고 무겁거나 그렇지 않고 싹 스며들며 쫀쫀해지는것이정말 너무너무 좋은 에센스에요절대 갈아탈수 없고 또 절대 단종되서도 안되는 그런 에센스라 영원이 함께할 각오로 이번에도 주문 완료했어요이번엔 민주킴 에디션으로 나와 디자인자체가 너무 사랑스럽더라구요가을이지만 봄이 생각나는... 라방으로 천기단세트 구매 많이들 하셨겠지만 전 원픽으로 비첩 자생에센스 구매했습니당^^ 한번 사놓음 오래 쓰니 올해는 걱정없네요,2023.10.15
9044,,,,,네이버 브랜드스토어 구****,5,선물용으로 구입했어요.,2023.10.15
8659,,,,,GSSHOP 구****,5,건조한 요즘 촉촉해서 아주 좋아요,2023.10.15
8658,,,,,GSSHOP 구****,5,선물해드렸는데 포장이 너무 예뻐요,2023.10.15
9116,,,,,네이버 브랜드스토어 구****,5,세일 기간 저렴하게 구매했어요 :),2023.10.14
9113,,,,,네이버 브랜드스토어 구****,5,10년 넘게 애용하고 있어요기획세트 라방까지 좋은 혜택에 구매해놓으렵니다.촉촉하고 피부에 영양을 듬뿍 넣어주는 화장품입니다.,2023.10.14
8716,,,,,GSSHOP 구****,4,계속사용중이에오 잘쓸께요,2023.10.14
8657,,,,,GSSHOP 구****,5,항상 사용하는 제품입니다,2023.10.14
9108,,,,,네이버 브랜드스토어 구****,5,비첩에센스 젤좋아하는거라 마침 라이브하길래 샀어요~ 쫀쫀하고 넘좋아요! 택배상자가 커서 놀랐네요ㅎㅎ 샘플도 많이오고 맘에듭니다 ^*^ 핑크핑크해서 용기도 넘예뻐요,2023.10.13
9105,,,,,네이버 브랜드스토어 구****,5,꾸준히 사용하던 비첩자생에센스 대용량으로 패키지도 사랑스럽네요~~촉촉하고 향기좋고 흡수빠르고 만족해요,2023.10.13
8758,,,,,네이버 브랜드스토어 구****,5,몇년전에써본건데 가겍이좀나가서 못쓰다가 다시쓰고잇어요,2023.10.12
8623,,,,,신세계 구****,5,촉촉해서 좋아요. 화장도 밀리지 않아요.5년이상 쓴 상품인데 점점 업그레이드 되어 맘에 들어요.,2023.10.8
9043,,,,,네이버 브랜드스토어 구****,5,가을되니 너무 건조함을 느껴 주문해서 썼어요.예상대로 아침에 일어나면 촉촉하고 윤기나요,2023.10.7
8715,,,,,GSSHOP 구****,5,후 에센스  ...말이 필요없죠 아주 좋아요,2023.10.5
8703,,,,,GSSHOP 구****,5,믿고 쓰는 후 에센스 너무 좋아요 계속 사용중요,2023.10.5
6794,,,,,신세계 구****,5,감사합니다. 감시합니다. 촉촉하고 발림성좋네요. 굿굿굿. 다음번에도 좋은 기회 포착해보렵니다.,2023.10.5
6793,,,,,신세계 구****,5,너무 좋아요. 촉촉하면서 너무 좋아요. 환절기 많은 도움이 되는거 같아요.   정품 사용해 보고 싶습니다.,2023.10.5
9018,,,,,네이버 브랜드스토어 구****,5,아주 좋아요~요즘 같은환절기에 매우 촉촉~♡,2023.10.4
8612,,,,,신세계 구****,5,키트라서 와이프한테 안주고 제가 써봤어여 ㅎㅎ 쫀쫀하니 중년 남자한테도 좋은거 같아요 다음에 와이프가 화장품사러갈때 이거로 추천해볼게요,2023.10.4
8610,,,,,신세계 구****,5,체험으로 써봤는데 촉촉하니 향도 은은하게 피부에 건강한 느낌입니다ㅎㅎ 체험키트 양이 적은데 제형이 쫀쫀해서 그런지 전 여러번 발랐네요~ 엄마도 써보시라 드렸는데 좋다하셔서 본제품 구매 해야할까봐요~,2023.10.4
6792,,,,,신세계 구****,5,촉촉하고 발림성이 좋아요. 저도 구매하고 싶어요. 지인에게도 꼭 추천하고 싶네요. 좋은 상품 고마워요.,2023.10.4
6790,,,,,신세계 구****,5,보통 스킨 에센스 위주로만 바르다 건조함이 심할때만 크림을 따로 바르는  편인데 이제품은 보습력이 상당이 좋았어요~ 샘플 하나로 저녁에 충분히 발라주고 아침에 조금 남은걸 스킨에 섞어 발랐는데 크림을 따로 바를 필요를 못느꼈네요 ^^다만 향이 좀 호불호가 있을수 있을듯해요..,2023.10.4
6789,,,,,신세계 구****,5,역시 후~  고급진 느낌이 너무 좋아요.쫀쫀하고 느낌이 너무 좋아요향도  좋구요. 금방 썼네요,2023.10.4
6787,,,,,신세계 구****,5,수영 후 보습관리 잘 해주야는데 영양감이 풍부하고 잘 발리며 쫀쫀해 지는 느낌이라좋네요 끈적이지 않고 흡수도 잘되요 꾸준히써도 좋을거같아요^^,2023.10.4
8621,,,,,신세계 구****,5,ssg 신세계백화점 행사로 면세점보다 더 싸게 사서 대만족. 샘플까지 풍성해서 정말 선물받은 기분입니다.,2023.10.3
8620,,,,,신세계 구****,5,촉촉하고 쫀득하고 아주 좋아요!!,2023.10.3
8619,,,,,신세계 구****,5,촉촉하고 넘 좋아요!! 샘플도 풍성하고 대용량이고 만족합니다!,2023.10.3
8607,,,,,신세계 구****,5,생각보다 굉장히 좋았습니다  향이며 점도며 피부에 스며드는게 참 괜찮네요 아침에 바르면 하루종일 얼굴이 쫀득존득  밤에 바르면 자는동안 얼굴이 리셋되는 기분입니다  많이 파세요,2023.10.3
8592,,,,,신세계 구****,5,요즘같이 환절기에 건조한 날 촉촉하고 발림성이 좋습니다~~주름개선 효과는 아직 느끼지 못했으나 촉촉함이 있어 지속적으로 사용 하면 효과가 있을듯 합니다.,2023.10.3
6786,,,,,신세계 구****,5,세안 후에 잘 발리고 흡수시키면 쫀쫀한데 촉촉함이 아주 오래가지는 않아서 크림 꼭 발라줘야함 쫀쫀한 느낌이 좋아서 있으면 자주쓸것같은데 반짝거리는 제형은 별로,2023.10.3
6785,,,,,신세계 구****,5,영양을 듬뿍 바르는 기분이 드네요. 정품을 사서 써 볼 예정입니다. 엄청 건성인데 저녁에 바르고 자면 아침까지 윤기가 돌아요.,2023.10.3
6784,,,,,신세계 구****,5,잘 발리고 촉촉함이 있습니다.~~세안후 에센스 하나 더 추가했을뿐인데 건조할때 당기지 읺아서 좋습니다.,2023.10.3
6783,,,,,신세계 구****,5,평소 피부가 많이 건조한데 써보니 촉촉하고 좋았습니다. 향도 좋았고요. 그리고 무엇보다 믿을 수 있는 브랜드여서 믿고 사용할 수 있을 거 같습니다.,2023.10.3
9042,,,,,네이버 브랜드스토어 구****,5,용량이 크고 가격도 명절행사가로 잘 샀습니다.후 제품 처음 샀는데 일반 중저가 제품과는 비교가 안되네요. 촉촉하고 영양이 가득한 것 같아요,2023.10.2
8575,,,,,신세계 구****,5,"쫀득한 느낌의 에센스입니다. 건성 피부인 사람 기준으로, 세안 후 바로 발라도 발림성이 좋았고, 보습력도 괜찮은 편입니다. 끈적임 없이 촉촉하게 유지되는 편이네요. 향도 아주 좋습니다 :-)",2023.10.2
8572,,,,,신세계 구****,4,스킨 후 바르면 유분기가 느껴지나 시간이 지나면  흡수되어 촉촉하다속 건성인데 사용 기간 동안 속 건성이 느껴지지 않았다,2023.10.2
8570,,,,,신세계 구****,5,저는 정말 만족해요 그래서 본품도 사려고 일단 장바구니에 담아놨어요 지금은 쓰고 있는 세럼이 있어서 아직 결제는 안했지만요 부드럽게 발리고 피부 당김이 사라졌어요,2023.10.2
6782,,,,,신세계 구****,5,후 제품을 여러제품 사용해 봤는데 촉촉함도 좋고 피부에 닿는 느낌도좋고 건조해지는  피부에 좋은것 같아요 나이가 들수록 잔주름도 생기는데 계속 사용할수도 촉축해 지는것 같아요,2023.10.2
8567,,,,,신세계 구****,5,발림성 좋구요. 발랐을때 잘 스며들어요. 전 약간 건성피부인데 유분이 좀더 있었으면 좋을듯합니다,2023.10.1
8562,,,,,신세계 구****,5,체험단으로 새로운 제품을 알게 되었네요!비첩 자생 에센스- 일단 끈끈한 점액이에요.발림성도 좋구요끈적거리지 않고 바른 후에 조금 지나면 흡수가 되네요.다음날 피부가 더 촉척해진 느낌이에요!,2023.10.1
8557,,,,,신세계 구****,5,요즘 주름이 늘어 고민이 많아 피부과를 고민하다 한번 써봤는데 촉촉하고 아주좋아요. 꾸준히 써보면 좋을거 같아 구매하려구요,2023.10.1
6781,,,,,신세계 구****,5,우연히 5일 체험키트 받게돼어서 저녁마다 사용해보니 쫀쫀하고 발림성도 좋아서 잘사용했어요 좋아요,2023.10.1
6780,,,,,신세계 구****,5,체험단으로 경험해봤는데 본품으로 구매했어요. 우선 바른 다음날 촉촉함이 느껴지고 얼굴이 정리되는 느낌이라 만족스러웠습니다.,2023.10.1
6779,,,,,신세계 구****,5,향이 자극적이지 않아 좋아요 발림성도 괜찮은 것 같습니다 바르고 나서 흡수도 잘 되는것 같습니다,2023.10.1
6778,,,,,신세계 구****,5,환절기 보습에 참으로 좋습니다.향도 은은하고 고급스러워서 바를때마다 제 기분도 같이 좋아지네요.,2023.10.1
6776,,,,,신세계 구****,5,에센스라기엔 꾸덕한 느낌의 제형이에요.촉촉하게 잘 발리네요.건조한 지금 계절에 좋겠어요.,2023.10.1
6774,,,,,신세계 구****,5,40대 복합성 피부에는 살짝 리치한지 담날 붉은 반점 보이길래 뾰루지 생길까봐 중단했어요. 한겨울에 발라보려구요,2023.10.1
9102,,,,,네이버 브랜드스토어 구****,5,만족합니다. 아주 좋아요. 저렴하게 샀고 샘플도 좋은 거 보내주고...,2023.9.30
9096,,,,,네이버 브랜드스토어 구****,5,"일단, 좋은 제품을 저렴하게 살 수 있어서 만족합니다. 백화점에서도 할인행사에 카트할인까지 해도 이것보다는 저렴할 수 없습니다. 후 에센스 명성이야 이미 널리 알려져있고, 이런 기회 놓치면 안되죠. 효과는 한달 뒤 후기로 다시 써보겠습니다.샘플 구성도 아주 좋아요.",2023.9.30
9041,,,,,네이버 브랜드스토어 구****,5,구성이 좋아요~ 날씨가 추워지니 건조해서 행사할때 사서 좋네요~,2023.9.30
9040,,,,,네이버 브랜드스토어 구****,5,쓰던 제품인데 착한 가격으로 나와 엄마 추석 선물로 드리고 저도 하나 구매 했네요.^^,2023.9.30
8757,,,,,네이버 브랜드스토어 구****,5,늘 쓰던 제품이에요,2023.9.30
8551,,,,,신세계 구****,5,좋아요^^저녁에 세안하고 기본스킨한 상태로 바르고 잤어요 이틀정도? 썻는데 피부결이 탄탄해지는느낌,2023.9.30
8548,,,,,신세계 구****,4,"살짝 점성이 있는 질감이라 건성인 분들에게 적합할 것 같습니다. 점성이 있더라도 얼굴에 펴 바르고 나면 끈끈함은 적어지므로 크게 부담은 느껴지지 않았어요. 저는 건성피부라 이런 촉촉한 제형 괜찮았어요. 다만 좋은 성분도 많이 들어있지만, 피이지/피피지 등의 성분도 여러 개 들어있어서 이 점만 개선된다면 본품 구매할 의향도 있네요.",2023.9.30
8546,,,,,신세계 구****,5,"점성이 끈끈한 한방향이 나는 에센스에요. 체험키트여서 포장이나 배송상태는 그냥 비닐에 담겨 있었어요. 아침 저녁으로 꾸준히 발라봤는데, 보습력이 좋아서  얼굴이 금새 촉촉해지네요.나이가 들어서 그런가 얼굴에 착 붙는 이런 에센스가 점점 더 마음에 들어요. 수분부족형지성이라 가을겨울에는 구매해서 사용해도 좋을 듯해요.50대 이상이신 분들에게 선물로도 추천합니다.",2023.9.30
6773,,,,,신세계 구****,5,사은품으로 받았는데 좋으네요...사은품으로 받았는데 좋으네요...사은품으로 받았는데 좋으네요...,2023.9.30
6772,,,,,신세계 구****,5,발림성이나 보습 피부결 정돈도 잘 되서 화장전에도 밀림없이괜찮았어요다만 향이 제 취향이 아니에요,2023.9.30
6771,,,,,신세계 구****,5,"내 돈 내 산 아니라 샘플로 받은 에센스,크림 화장품 입니다. 촉촉하게 보습 잘됩니다.좋아요.",2023.9.30
6770,,,,,신세계 구****,5,밀착감이 좋고 저녁에 바르고 자면 아침까지. 쫀쫀합니다. 샘플키트인데도 포장도 꼼꼼꼼해요. 본품 구입해서 바르려구요,2023.9.30
8543,,,,,신세계 구****,5,더후비첩 자생에센스 5일 체험키트 새벽배송을 통해 사용해봐ㅛ어요 요즘 많아 건조한데 촉촉하고 좋아요.,2023.9.29
9093,,,,,네이버 브랜드스토어 구****,5,사은품 엄청많이왔고제품퀄리티  자생중역대최고이번 민주킴디자인 진짜최고로이쁘네여,2023.9.28
9039,,,,,네이버 브랜드스토어 구****,5,"발림, 흡수, 촉촉함 모두 좋아요^^",2023.9.28
9015,,,,,네이버 브랜드스토어 구****,5,늘 이거 쓰다가 다른 에센스를 쓰니까 확 피부느낌이 다르더라구요 그래서 다시 후비첩에센스 주문했습니다,2023.9.28
8756,,,,,네이버 브랜드스토어 구****,5,늘 사용하는 제품입니다.,2023.9.28
8656,,,,,GSSHOP 구****,5,계속쓰고있는제품!!!좋아요좋아요,2023.9.28
6769,,,,,신세계 구****,5,발르면 촉촉하고 먼가 쫀쫀해지는 느낌이 들어서 좋아요 향은 약간 한약냄새같은거 나는데 나쁘지않아요,2023.9.28
9090,,,,,네이버 브랜드스토어 구****,5,상품구성 너무좋아 구매했어요~~쓰던 에센스라 굳굳,2023.9.27
9087,,,,,네이버 브랜드스토어 구****,5,상당히 건조한편인지 촉촉해서 좋아요그리고 사은품도 너무 좋네요~,2023.9.27
8541,,,,,신세계 구****,5,새벽배송에  함께 온 샘플 비첩 자생에센스를 써보고 얼굴이 촉촉하고 매끄러운 느낌이 도는게 좋아서 당장 90ml 본품을 샀네요,2023.9.27
8539,,,,,신세계 구****,5,촉촉하고 쫀쫀하고 보습력이 좋아요 점성도 어느정도 있구요. 체험이었지만 구매의사도 있습니다. 재품 만족해요,2023.9.27
9084,,,,,네이버 브랜드스토어 구****,5,너무 좋아요행사할 때 쟁여놓았어요,2023.9.26
9038,,,,,네이버 브랜드스토어 구****,5,너무 좋아요행사할 때 쟁여놓았어요,2023.9.26
9036,,,,,네이버 브랜드스토어 구****,5,만족합니다.촉촉하니 좋네요,2023.9.26
8536,,,,,신세계 구****,5,피부가 촉촉하고 끈적이지 않아서 좋습니다. 아침에 세안후에도 피부가 부드럽고 매끈해서 더욱 좋습니다.,2023.9.26
8533,,,,,신세계 구****,5,엘지생활건강 더 후 화장품 몇년전 사용해 보고 너무 괜찮아서 지속작으로 사용하다가 가격이 부담스러워 중단했었는데 제품은 다르지만 자생에센스 역시 끈적이지 않고 촉촉하고 다음날 아침 세수하면서 부드러움이 느껴짐니다,2023.9.26
6768,,,,,신세계 구****,5,촉촉하고 순한 것 같아요 엄마가 여행을 앞두고 계셔서 편하게 들고 가실 수 있는 개별포장 샘플인 점은 덤으로 더 좋았습니다,2023.9.26
