review_uid,product_name,product_price,product_type,username_1,username_2,rating,review_content,review_date
39753834,치카퐁 입냄새제거 고체가글 (1+1),"15,840원",02. [4+2] 6박스 / 36%할인,ID,318009666***,5.0,레랑님 유튜브 보고 구매했어요.편리하고 너무 좋아요,2023-11-26
38327301,퓨어다이아 셀프 치아미백제 세트,"29,500원",02. 더블 업 세트 (2주 분량 X 2SET) [32% 할인 / 미백치약 1개 포함],ID,306085391***,5.0,웨딩 촬영 하기전 조금이라도 하얗게 보일라고 남친이랑제꺼 구매했는데 저는 하루도 빠짐없이 잘하니까 확실히 안하는거보다 하예쟈요!!! 그리구 30분만 하면 되니까 시간금방가고 침이 고이는데 삼키기가 싫어서 머금고 잇답니다ㅠ 거즈도 들어있고 가성비 따지면 급으로 사용하기 딱이에여! 웨촬때까지 꾸준히 해서 기대해보겟습니다,2023-10-25
38355693,치카퐁 입냄새제거 고체가글 (1+1),"15,840원",04. [1+1] 2박스 / 20%할인,ID,***,5.0,사용한시 세시간정도 지났는데도 지금까지 상쾌함이 남날라요깨물자마자 입안 한가득 거품이 풍성하게 막막 늘어나요신기한경험 ㅋㅋ재구매의사 천프로 만프로구요 같이 구매한 미백제도 기대되네용!!,2023-10-26
38355588,퓨어다이아 셀프 치아미백제 세트,"29,500원",03. 미백 집중 관리 세트 (2주 분량 X 3SET) [40% 할인 / 미백치약 3개 포함],ID,310930628***,5.0,네이버에 검색해보니 이게 제일 1번으로 올라와있더라구요 반심반의 하면서 구입해봤는데 생각보다 효과가 있는거 같아요 꾸준히 사용해볼려구요2주분량 3세트 샀는데 배송도 빨랐고 미백치약도 줬어요,2023-10-26
38366998,퓨어다이아 셀프 치아미백제 세트,"29,500원",01. 단품 세트 (2주 분량) [22% 할인],ID,311145105***,5.0,차음에 한개 사보고 너무 괜찮은거 같아서 2개 더 주문했어요 !!!,2023-10-27
38367688,퓨어브레스 구강유산균 투입균 365억 특허균주,"39,200원",03. 구강유산균 4+2,ID,happy3***,4.0,10일이상 밤마다 섭취했는데 아침에 텁텁함이 덜해서 좋네요맛도 상큼하고 장에도 효과있는지 10일지나니아침에 화장실을 갔네요보내주신 마우스 스프레이 상쾌하고 넘 좋아요....감사합니다 ~^^,2023-10-27
38369084,퓨어다이아 셀프 치아미백제 세트,"29,500원",- 02. 더블 업 세트 (2주 분량 X 2SET) [32% 할인 / 미백치약 1개 포함],ID,***,4.0,남편 사줬는데 치아미백 잘됐다고 너무 좋아하네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ남편 잇몸이 약한편인데 부작용이 0퍼라 해서 믿고 구매했어요 혹시나 싶어서 첫날은 제가썼는데 별이상 없어서 바로 남편한테  줘봤어요 일주일밖에 안했는데 벌써 치아색이 앞단계까지 밝아진듯 ~^^ 넘 만족스럽고 재구매 의사 무조건있어요 주변에 추천 많이 하고 있는 중이에요 ㅎ,2023-10-27
38369135,퓨어브레스 구강유산균,"39,200원",- 04. 구강유산균 3+1,ID,***,4.0,유통기한도 넉넉하고 레몬민트향이라 상쾌하게 나서 양치 두번한 느낌도 들고 정신이 꺠는 느낌도 들어서 출근하자마자 먹습니다 ㅎㅎ한통은 집에 두고 한통은 가방에 넣어 입냄새 날때마다 먹어주면 미리미리 방지도 되는것같아서 유용하게 사용하고있어용 ♥,2023-10-27
47421148,퓨어다이아 셀프 치아미백제 세트,"29,500원",01. 단품 세트 (2주 분량) [22% 할인],ID,339111513***,5.0,"NEW
                                    


                                잘 산 것 같아 기분이 좋아요 🙂🙂",2024-04-10
47415340,퓨어다이아 셀프 치아미백제 세트,"29,500원",01. 단품 세트 (2주 분량) [22% 할인],ID,328948726***,5.0,"NEW
                                    


                                굿",2024-04-10
47414679,퓨어다이아 셀프 치아미백제 세트,"29,500원",02. 더블 업 세트 (2주 분량 X 2SET) [32% 할인 / 미백치약 1개 포함],ID,***,5.0,"NEW
                                    


                                만족할 만큼 좋은 상품이에요😆 감사합니다.",2024-04-10
47412807,퓨어다이아 셀프 치아미백제 세트,"29,500원",01. 단품 세트 (2주 분량) [22% 할인],ID,***,3.0,"NEW
                                    



                                        재구매
                                    


                                나쁘지 않은 선택이었던 것 같아요 👌👌",2024-04-10
47409839,퓨어다이아 셀프 치아미백제 세트,"29,500원",02. 더블 업 세트 (2주 분량 X 2SET) [32% 할인 / 미백치약 1개 포함],ID,kate0***,5.0,"NEW
                                    



                                        재구매
                                    


                                배송도 빠르고 상품도 좋아요~ 감사합니다 :)",2024-04-10
47398571,퓨어다이아 셀프 치아미백제 세트,"29,500원",미백치약 단품 (20% 할인) 미백효과UP! 미백관리UP!,ID,338898571***,5.0,"NEW
                                    



                                        재구매
                                    


                                만족할 만큼 좋은 상품이에요😍 감사합니다.",2024-04-10
47398394,퓨어다이아 셀프 치아미백제 세트,"29,500원",미백치약 단품 (20% 할인) 미백효과UP! 미백관리UP!,ID,339260033***,5.0,"NEW
                                    



                                        재구매
                                    


                                잘 산 것 같아 기분이 좋아요 😍😍",2024-04-10
47395859,퓨어다이아 셀프 치아미백제 세트,"29,500원",01. 단품 세트 (2주 분량) [22% 할인],ID,339131239***,3.0,"NEW
                                    


                                무난무난 하네요 감사합니다!",2024-04-10
47388229,퓨어브레스 구강유산균 투입균 365억 특허균주,"39,200원",04. 구강유산균 3+1,ID,337289636***,5.0,"NEW
                                    



                                        재구매
                                    


                                두번째 구매입니다. 자기전 양치 후 섭취하고 있어요. 아침에 텁텁함에 줄어든 것 같아요. 금액이 저렴하지는 않지만 효과가 있어 만족합니다.",2024-04-10
47391599,퓨어다이아 셀프 치아미백제 세트,"29,500원",,ID,***,5.0,누런치아가 너무 신경쓰였는데 이거 사용하고 조금씩 하해지는게 아주 마음에 듭니다재구매할 예정입니다(2024-04-09 22:18:51 에 등록된 네이버 페이 구매평),2024-04-10
47381903,퓨어다이아 셀프 치아미백제 세트,"29,500원",,ID,***,5.0,잘 쓰겠습니다~~~~~(2024-04-09 18:22:08 에 등록된 네이버 페이 구매평),2024-04-10
47381904,퓨어다이아 셀프 치아미백제 세트,"29,500원",,ID,***,5.0,사용해 볼께요. 효과가 있어야 할텐데(2024-04-09 18:54:28 에 등록된 네이버 페이 구매평),2024-04-10
47375758,퓨어다이아 셀프 치아미백제 세트,"29,500원",,ID,***,5.0,아주 잘 사용하고있습니다 좋아요(2024-04-09 16:18:04 에 등록된 네이버 페이 구매평),2024-04-10
47394470,퓨어다이아 셀프 치아미백제 세트,"29,500원",,ID,***,5.0,간편하고 좋아요~~30분 기다리는게 좀 지루하긴 한데 효과는 괜찮아요~(2024-04-09 10:43:54 에 등록된 네이버 페이 구매평),2024-04-10
47393565,퓨어다이아 셀프 치아미백제 세트,"29,500원",,ID,***,5.0,"만족 만족 대만족, 한 두 번 정도 사용했는데요, 매일 사용하라고 나와있지만 저는 한 번 사용으로 조금의 효과는 있는 것 같아요! 제 치아가 엄청 노란 편은 아니지만 약간 거슬리는? 그런 느낌에 특히 송곳니가 좀 많이 누런 편이었는데, 눈에 띄게 누런 부분만 사용해주니 어느정도 치아 색도 고루 비슷해지더라고요! 남은 기간도 잘 사용해보겠습니다 그리고 치아가 조금 시려요(2024-04-09 00:13:48 에 등록된 네이버 페이 구매평)",2024-04-10
47343844,치카퐁 입냄새제거 고체가글 (1+1),"15,840원",02. [4+2] 6박스 / 36%할인,ID,***,5.0,"NEW
                                    


                                배송도 빠르고 상품도 좋아요~ 감사합니다 :)",2024-04-09
47301863,라이브 V컷팅 교정칫솔,"4,000원",[2+1] 컬러 랜덤 배송 (55%할인),ID,341197924***,5.0,"NEW
                                    


                                배송도 빠르고 상품도 좋아요~ 감사합니다 :)",2024-04-09
