review_uid,product_name,product_price,product_type,username_1,username_2,rating,review_content,review_date
46473921,리덴스 마일드 아쿠아 선 에센스 SPF50+ PA++++ 50ml,"19,000원",마일드 아쿠아 선 에센스 2개,ID,seo****,5.0,친구가 써보더니 만족해하길래 주고 새로 사러 왔어요 ㅋㅋ둘다 건성이라 화장품 추천 해주는데 이번에 제대로 만난것같다면섴ㅋㅋㅋ톤업썬크림도 있던데 같이 사볼려구여! 처음 들어본 브랜드인데..만족스러워요 너무!,
46466329,리덴스 톤 블러링 선 크림 SPF50+ PA++++ 50ml,"19,000원",톤 블러링 선크림 1개,ID,****,5.0,톤업 선크림 중에 가장 일정한 톤으로 발려요! 그리고 건성이신 분들은 촉촉하다 생각할 거 같아요! 가장 맘에 드는 건 톤업 정도! 다른 톤업 선크림들은 얼룩덜룩하게 발려서 맘에 안들었는데 이건 진짜 자연스럽게 톤업이 가능해요~,
46464534,리덴스 마일드 아쿠아 선 에센스 SPF50+ PA++++ 50ml,"19,000원",마일드 아쿠아 선 에센스 1개,ID,2y****,5.0,유통기한 넉넉하고 튜브타입이라 사용하기 좋아요~ 민감성 피부라 화장품 하나 찾으면 그거만 주구장창 쓰는데 선크림은 사실 잘 맞는 걸 못찾아서 아직까지 유목생활 중이었는데요 ㅠㅠㅠ 이거는 진짜 자극도 없고 피부흡수도 잘되서 계속 사용할 수 있을 것 같네요!! 잘 써보겠습니닷😍,
46447133,리덴스 톤 블러링 선 크림 SPF50+ PA++++ 50ml,"19,000원",톤 블러링 선크림 1개,ID,ppsh****,5.0,제 피부가 노란빛이라 그런가 보색보정 해준다는게 무슨 말인지 알 것 같아요. 자연스럽게 하얘지는게 맘에 들어요! 간만에 마음에 드는 선크림 찾았네요ㅎㅎ,
46473514,리덴스 마일드 아쿠아 선 에센스 SPF50+ PA++++ 50ml,"19,000원",마일드 아쿠아 선 에센스 2개,ID,****,5.0,대박임.. 진짜 사용감 대박 완전 촉촉하고 제발 화장 뜨는 사람들// 근데 피부 예민한사람들은 제발 사용했으면 좋겠음 흡수력이 진짜.. ㄷㄷ!!,
46467263,리덴스 마일드 아쿠아 선 에센스 SPF50+ PA++++ 50ml,"19,000원",마일드 아쿠아 선 에센스 1개,ID,****,5.0,아니~~수분선크림 시간 지나면 기름이 점점 올라와서 그것때문에 고민이 많았는데 드뎌 괜찮은 제품을 찾았네요! 예민한 제 피부에도 잘 맞는 거 보니까 엄청 순한 거 같고 시간 지나도 기름지지 않아서 데일리 선크림으로 완전 최고~~눈 따가운것도 하나도 없어요~,
46465312,리덴스 톤 블러링 선 크림 SPF50+ PA++++ 50ml,"19,000원",톤 블러링 선크림 1개,ID,dodozz****,5.0,우와 이거..완전 제가 찾던 제품입니다! 파데프리라는 이름에 걸맞게 바르면 자외선 차단부터 피부가 자연스럽게 하얘져서 따로 파데 안 바르고 쿠션으로 다크서클만 커버해도 괜찮아요!,
46464596,리덴스 톤 블러링 선 크림 SPF50+ PA++++ 50ml,"19,000원",톤 블러링 선크림 2개,ID,jayou****,5.0,썬크림이랑 톤업을 한번에 처리하고 싶을 땐 이만한 제품이 없네요! 파데처럼 엄청난 커버력을 자랑하진 않지만 자연스러운 톤 정리와 화사해지는 것이 너무 만족스럽습니다~!,
46465600,리덴스 톤 블러링 선 크림 SPF50+ PA++++ 50ml,"19,000원",톤 블러링 선크림 1개,ID,****,5.0,"발림성 촉촉하니 부드럽고 자연스럽게 톤 보정이 되다보니 너무 마음에 쏙 들었어요! 촉촉하게 발리는데 마무리는 보송해서 좋았고, 개인적으로 대중적인 핑크색 선크림보다 맘에 들어요~",
46388010,리덴스 마일드 아쿠아 선 에센스 SPF50+ PA++++ 50ml,"19,000원",마일드 아쿠아 선 에센스 2개,ID,****,4.0,화장 너무너무 잘먹구요 끈적임 없고 백탁도 없는 진짜 리얼 제 인생템이요ㅠㅠ 할인 많이 해주세요.. 할인할때 엄청 쟁여둘래요…..,
46454637,리덴스 톤 블러링 선 크림 SPF50+ PA++++ 50ml,"19,000원",톤 블러링 선 크림 1개,ID,ilil****,5.0,노란톤 보정된다길래 구매 했어요!! 저는 선크림은 손으로 안 바르고 퍼프로 바르는 편인데 얇고 균일하게 발리니까 오히려 피부가 원래 깨끗한 사람처럼 좋아보이고 자연스럽게 밝아져요! 저한테는 잘 맞는템! 약간 매트한가 싶으면서도 건조함은 또 없어서 신기한템ㅋㅋㅋ,
46387711,리덴스 마일드 아쿠아 선 에센스 SPF50+ PA++++ 50ml,"19,000원",마일드 아쿠아 선 에센스 1개,ID,****,5.0,매번 쓰던 선크림이 다 떨어져서 다른 제품 써볼까 하고 찾아보다 구매했어요. 처음 보는 브랜드라 괜찮을까 싶었는데 진짜 만족해요. ㅎㅎ 진짜 수분 크림? 에센스? 같이 얼굴에 바르자마자 흡수가 바로 돼서 너무 신기해요.. 지금까지 쓴 선크림중에 제일 좋음.. 진짜요. 패키지도 반짝반짝해서 제 취향이고 다 맘에듭니다! ㅎㅎ,
46466988,리덴스 마일드 아쿠아 선 에센스 SPF50+ PA++++ 50ml,"19,000원",마일드 아쿠아 선 에센스 1개,ID,****,5.0,등산을 자주 가는데 다녀올 때마다 얼굴이 붉어지고 기미도 올라오면서 잡티같은 것도 생겨 스트레스였는데 리덴스 선에센스 바르고 나서는 등산 후 피부가 붉어지거나 기미 생기는게 많이 줄었어요!,
46471650,리덴스 마일드 아쿠아 선 에센스 SPF50+ PA++++ 50ml,"19,000원",마일드 아쿠아 선 에센스 1개,ID,****,4.0,약간 물 선크림 느낌..? 주르륵 흘러내리는 물 말고 물막 느낌ㅎㅎ 싹 발리고 촉촉하게 흡수되는 것이 약간 일본 비x레 선크림 느낌 나요ㅋㅋㅋㅋㅋㅋ,
46465369,리덴스 톤 블러링 선 크림 SPF50+ PA++++ 50ml,"19,000원",톤 블러링 선크림 1개,ID,****,5.0,제형이 촉촉한데 아주 소량으로도 적당히 얇게 발라주니까 확실히 피부가 예쁘게 표현되더라고요! 항상 칙칙해 보이는 피부가 고민이었는데 선크림 바꾸고 나서 친구가 피부가 되게 화사해 보인다고 하더라고요! 넘 행복스~,
46472515,리덴스 톤 블러링 선 크림 SPF50+ PA++++ 50ml,"19,000원",톤 블러링 선크림 2개,ID,wj****,5.0,"선크림, 톤업, 베이스 기능이 모두 있다고 해서 주문했어요~불편하지 않게 잘 발리고 얼굴도 너무 티나지 않게 톤업되서 좋았어요! 테스트해본다고 팔에다가 오지게 발라봤는데 장난아니죵?ㅋㅋㅋㅋ완전 추천! 다만 사용하실 땐 저처럼 와바박 바르지 마시고 소량만 사용하기 ㅋㅋㅋ 진짜 피부화장 따로 필요없어요~",
47264670,리덴스 톤 블러링 선 크림 SPF50+ PA++++ 50ml,"19,000원",,ID,****,5.0,톤업이 되서 선크림만 바르고 마스크 쓰고 나왔는데 제 피부가 지성이라서 그런지 얼굴에 유분기(기름)가 많이 생기네요ㅠㅠ 그래도 화장하기 귀찮은 날에는 선크림 위에 쿠션 바르거나 선크림만 발라도 괜찮을것 같아요      (2024-04-03 16:15:06 에 등록된 네이버 페이 구매평),
